408,SELECT DISTINCT p.modelMag_u FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-07-03 09:18:00,5
2019-07-03 10:04:00,1
2019-07-03 10:06:00,5
2019-07-03 10:14:00,6
2019-07-03 10:16:00,1
2019-07-03 10:19:00,10
2019-07-03 10:22:00,3
2019-07-03 10:25:00,1
2019-07-03 10:27:00,1
2019-07-03 13:24:00,5
2019-07-03 13:27:00,6
2019-07-03 13:30:00,5
2019-07-03 13:31:00,3
2019-07-03 13:33:00,3
2019-07-03 13:36:00,1
2019-07-03 13:38:00,18
2019-07-03 13:39:00,4
2019-07-03 13:42:00,19
2019-07-03 13:46:00,4
2019-07-03 13:49:00,4
2019-07-03 13:51:00,4
2019-07-03 13:53:00,1
2019-07-03 13:56:00,5
2019-07-03 13:58:00,1
2019-07-03 14:00:00,1
2019-07-03 14:02:00,1
2019-07-03 14:03:00,2
2019-07-03 14:05:00,2
2019-07-03 14:06:00,4
2019-07-03 14:10:00,2
2019-07-03 14:12:00,1
2019-07-03 14:14:00,1
2019-07-03 14:15:00,1
2019-07-03 14:17:00,2
2019-07-03 14:19:00,1
2019-07-03 14:20:00,1
2019-07-03 14:21:00,3
2019-07-03 14:23:00,1
2019-07-03 14:25:00,1
2019-07-03 14:27:00,2
2019-07-03 14:28:00,2
2019-07-03 14:30:00,2
2019-07-03 14:42:00,1
2019-07-03 14:47:00,2
2019-07-03 14:48:00,1
2019-07-03 14:49:00,1
2019-07-03 14:51:00,1
2019-07-03 14:54:00,5
2019-07-03 15:03:00,2
2019-07-03 15:05:00,1
2019-07-03 15:07:00,1
2019-07-03 15:11:00,2
2019-07-03 15:14:00,2
2019-07-03 15:18:00,1
2019-07-03 15:22:00,1
2019-07-03 15:28:00,2
2019-07-03 15:32:00,3
2019-07-03 15:34:00,2
2019-07-03 15:37:00,2
2019-07-03 15:40:00,1
2019-07-03 15:42:00,1
2019-07-03 15:46:00,1
2019-07-03 15:49:00,1
2019-07-03 15:54:00,1
2019-07-03 15:57:00,3
2019-07-03 16:02:00,1
2019-07-03 16:04:00,5
2019-07-03 16:07:00,4
2019-07-03 16:11:00,3
2019-07-03 16:13:00,6
2019-07-03 16:15:00,1
2019-07-03 16:17:00,3
2019-07-03 16:19:00,2
2019-07-03 16:22:00,11
2019-07-03 16:24:00,9
2019-07-03 16:27:00,6
2019-07-03 16:30:00,5
2019-07-03 16:32:00,5
2019-07-03 16:35:00,9
2019-07-03 16:37:00,1
2019-07-03 16:38:00,1
2019-07-03 16:41:00,28
2019-07-03 16:44:00,1
2019-07-03 16:46:00,5
2019-07-03 16:47:00,9
2019-07-03 16:56:00,1
2019-07-03 16:59:00,3
2019-07-03 17:01:00,4
2019-07-03 17:04:00,11
2019-07-03 17:07:00,21
2019-07-03 17:13:00,1
2019-07-03 21:20:00,1
2019-07-03 21:25:00,7
2019-07-03 21:29:00,4
2019-07-03 21:32:00,3
2019-07-03 21:33:00,2
2019-07-03 21:37:00,2
2019-07-03 21:42:00,4
2019-07-03 21:48:00,16
2019-07-03 21:55:00,8
2019-07-03 22:01:00,4
2019-07-03 22:05:00,10
2019-07-03 22:27:00,5
2019-07-03 22:32:00,2
