96,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-07-03 04:59:00,1
2019-07-03 05:00:00,1
2019-07-03 06:37:00,1
2019-07-03 07:17:00,1
2019-07-03 07:34:00,1
2019-07-03 07:52:00,1
2019-07-03 08:02:00,3
2019-07-03 08:56:00,1
2019-07-03 08:59:00,1
2019-07-03 09:00:00,1
2019-07-03 09:12:00,1
2019-07-03 09:13:00,1
2019-07-03 09:50:00,1
2019-07-03 10:19:00,1
2019-07-03 11:03:00,4
2019-07-03 11:04:00,6
2019-07-03 12:02:00,1
2019-07-03 12:15:00,2
2019-07-03 12:16:00,3
2019-07-03 12:23:00,1
2019-07-03 12:29:00,2
2019-07-03 12:30:00,4
2019-07-03 12:34:00,3
2019-07-03 12:35:00,1
2019-07-03 12:38:00,1
2019-07-03 12:43:00,1
2019-07-03 12:48:00,1
2019-07-03 12:59:00,1
2019-07-03 13:01:00,1
2019-07-03 13:03:00,9
2019-07-03 13:04:00,1
2019-07-03 13:05:00,1
2019-07-03 13:06:00,8
2019-07-03 13:07:00,9
2019-07-03 13:08:00,2
2019-07-03 13:09:00,3
2019-07-03 13:10:00,3
2019-07-03 15:00:00,1
2019-07-03 15:29:00,1
2019-07-03 16:28:00,1
2019-07-03 16:34:00,1
2019-07-03 16:44:00,1
2019-07-03 16:49:00,3
2019-07-03 16:50:00,1
2019-07-03 23:49:00,1
2019-07-03 23:51:00,1
2019-07-03 23:53:00,1
