33,"SELECT TOP #   plate, mjd, fiberid  FROM specObj  WHERE ((PrimTarget & #) > #)   AND (z > #)   AND (z <= #)"
2019-01-04 14:58:00,1
2019-01-04 18:07:00,2
2019-01-04 18:16:00,1
2019-01-04 18:17:00,1
2019-01-04 18:18:00,2
2019-01-04 18:20:00,5
2019-01-04 18:38:00,1
2019-01-04 18:40:00,3
2019-01-04 18:41:00,2
2019-01-04 18:42:00,3
2019-01-04 18:45:00,2
2019-01-04 19:48:00,1
2019-01-04 19:49:00,1
2019-01-04 19:50:00,1
2019-01-04 19:51:00,1
2019-01-04 20:29:00,1
2019-01-04 20:30:00,2
2019-01-04 20:31:00,1
2019-01-04 21:42:00,1
2019-01-04 21:43:00,1
