24,select * from zooConfidence where objid=#
2019-01-04 00:38:00,1
2019-01-04 00:41:00,2
2019-01-04 01:00:00,1
2019-01-04 01:30:00,1
2019-01-04 03:12:00,1
2019-01-04 03:48:00,1
2019-01-04 04:28:00,1
2019-01-04 04:29:00,1
2019-01-04 07:28:00,1
2019-01-04 07:34:00,1
2019-01-04 08:22:00,1
2019-01-04 10:43:00,2
2019-01-04 10:46:00,1
2019-01-04 11:43:00,1
2019-01-04 11:59:00,1
2019-01-04 12:15:00,1
2019-01-04 12:52:00,1
2019-01-04 12:58:00,1
2019-01-04 14:10:00,1
2019-01-04 17:25:00,1
2019-01-04 18:19:00,1
2019-01-04 22:48:00,1
