21,select * from zoo2Stripe8#Normal where dr8objid=#
2019-01-04 00:42:00,1
2019-01-04 01:00:00,1
2019-01-04 01:58:00,1
2019-01-04 03:25:00,1
2019-01-04 04:07:00,1
2019-01-04 04:11:00,1
2019-01-04 05:09:00,1
2019-01-04 05:34:00,1
2019-01-04 06:45:00,1
2019-01-04 07:28:00,1
2019-01-04 07:34:00,1
2019-01-04 07:42:00,1
2019-01-04 08:24:00,1
2019-01-04 11:45:00,1
2019-01-04 13:19:00,1
2019-01-04 14:28:00,1
2019-01-04 14:48:00,1
2019-01-04 15:49:00,1
2019-01-04 16:25:00,1
2019-01-04 19:10:00,1
2019-01-04 19:39:00,1
