35,select * from zooSpec where objid=#
2019-01-04 00:42:00,1
2019-01-04 01:00:00,1
2019-01-04 01:28:00,1
2019-01-04 02:04:00,1
2019-01-04 04:14:00,1
2019-01-04 04:50:00,1
2019-01-04 05:07:00,2
2019-01-04 05:48:00,1
2019-01-04 06:07:00,1
2019-01-04 06:13:00,1
2019-01-04 06:27:00,1
2019-01-04 06:43:00,1
2019-01-04 08:29:00,1
2019-01-04 09:19:00,1
2019-01-04 09:33:00,1
2019-01-04 10:38:00,1
2019-01-04 13:10:00,1
2019-01-04 13:12:00,1
2019-01-04 13:13:00,1
2019-01-04 13:15:00,1
2019-01-04 13:26:00,1
2019-01-04 13:45:00,1
2019-01-04 13:51:00,1
2019-01-04 14:50:00,1
2019-01-04 15:04:00,1
2019-01-04 15:29:00,1
2019-01-04 15:36:00,1
2019-01-04 17:39:00,1
2019-01-04 18:51:00,1
2019-01-04 19:16:00,1
2019-01-04 20:47:00,1
2019-01-04 22:00:00,1
2019-01-04 22:05:00,1
2019-01-04 22:13:00,1
