27,select * from zoo2MainPhotoz where dr8objid=#
2019-01-04 00:41:00,1
2019-01-04 00:42:00,1
2019-01-04 01:03:00,1
2019-01-04 01:26:00,1
2019-01-04 01:27:00,1
2019-01-04 01:30:00,1
2019-01-04 02:12:00,1
2019-01-04 03:12:00,1
2019-01-04 04:47:00,1
2019-01-04 05:02:00,1
2019-01-04 07:10:00,1
2019-01-04 07:28:00,1
2019-01-04 08:23:00,1
2019-01-04 09:57:00,1
2019-01-04 10:13:00,1
2019-01-04 11:45:00,1
2019-01-04 12:36:00,1
2019-01-04 13:03:00,1
2019-01-04 13:49:00,1
2019-01-04 14:27:00,1
2019-01-04 14:47:00,1
2019-01-04 15:04:00,1
2019-01-04 15:35:00,1
2019-01-04 16:23:00,1
2019-01-04 20:50:00,1
2019-01-04 21:02:00,2
