4,"SELECT DISTINCT objID, ra, dec FROM MyDB.JR_Table_SDSS  into MyDB.JR_Table_SDSS_coords"
2019-01-04 14:31:00,2
2019-01-04 14:48:00,1
2019-01-04 14:49:00,1
