26,select * from zooMirrorBias where objid=#
2019-01-04 00:38:00,1
2019-01-04 00:48:00,1
2019-01-04 01:03:00,1
2019-01-04 01:51:00,1
2019-01-04 02:17:00,1
2019-01-04 03:51:00,1
2019-01-04 04:07:00,1
2019-01-04 04:38:00,1
2019-01-04 05:13:00,1
2019-01-04 05:30:00,2
2019-01-04 08:39:00,1
2019-01-04 09:43:00,1
2019-01-04 10:32:00,1
2019-01-04 10:40:00,1
2019-01-04 10:43:00,1
2019-01-04 12:48:00,1
2019-01-04 13:13:00,1
2019-01-04 14:23:00,1
2019-01-04 14:38:00,1
2019-01-04 14:39:00,1
2019-01-04 14:54:00,1
2019-01-04 16:46:00,1
2019-01-04 17:31:00,1
2019-01-04 19:17:00,2
