2,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.class,s.dec,s.subClass,s.z  FROM ..SpecObj as s  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.z > # AND s.zWarning = # AND (s.class = &&& OR s.class = &&&) AND s.z < #"
2019-11-25 02:13:00,1
2019-11-25 02:17:00,1
