25,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-11-25 00:51:00,1
2019-11-25 05:17:00,2
2019-11-25 05:45:00,1
2019-11-25 05:57:00,1
2019-11-25 06:00:00,1
2019-11-25 09:01:00,1
2019-11-25 09:03:00,1
2019-11-25 13:55:00,1
2019-11-25 14:14:00,3
2019-11-25 14:41:00,1
2019-11-25 18:03:00,1
2019-11-25 18:57:00,1
2019-11-25 19:33:00,1
2019-11-25 19:45:00,1
2019-11-25 21:56:00,1
2019-11-25 21:57:00,2
2019-11-25 22:29:00,1
2019-11-25 22:50:00,1
2019-11-25 23:13:00,1
2019-11-25 23:59:00,2
