62,"SELECT all p.ra,p.dec,p.type,p.CmodelMag_g,p.CmodelMag_r FROM PhotoObj AS p WHERE   p.ra BETWEEN #-# AND #+#  AND p.dec BETWEEN #-# AND #+#  AND p.type = #"
2019-11-25 06:01:00,1
2019-11-25 06:15:00,1
2019-11-25 06:33:00,1
2019-11-25 07:15:00,1
2019-11-25 07:18:00,1
2019-11-25 07:20:00,1
2019-11-25 07:25:00,1
2019-11-25 07:33:00,1
2019-11-25 07:36:00,1
2019-11-25 07:39:00,1
2019-11-25 07:41:00,1
2019-11-25 07:45:00,1
2019-11-25 08:25:00,1
2019-11-25 08:28:00,1
2019-11-25 08:29:00,1
2019-11-25 10:32:00,1
2019-11-25 10:33:00,1
2019-11-25 10:35:00,2
2019-11-25 10:37:00,1
2019-11-25 10:39:00,2
2019-11-25 11:15:00,1
2019-11-25 11:16:00,1
2019-11-25 11:17:00,1
2019-11-25 11:18:00,1
2019-11-25 11:19:00,1
2019-11-25 11:20:00,2
2019-11-25 11:21:00,1
2019-11-25 11:22:00,2
2019-11-25 11:36:00,1
2019-11-25 11:38:00,1
2019-11-25 11:40:00,1
2019-11-25 12:08:00,1
2019-11-25 12:11:00,1
2019-11-25 12:12:00,1
2019-11-25 12:13:00,1
2019-11-25 12:14:00,2
2019-11-25 12:15:00,1
2019-11-25 12:16:00,1
2019-11-25 12:17:00,1
2019-11-25 12:18:00,1
2019-11-25 12:20:00,2
2019-11-25 12:21:00,1
2019-11-25 12:22:00,1
2019-11-25 12:23:00,1
2019-11-25 12:24:00,1
2019-11-25 12:25:00,1
2019-11-25 12:26:00,1
2019-11-25 13:10:00,1
2019-11-25 13:11:00,1
2019-11-25 13:12:00,2
2019-11-25 13:14:00,1
2019-11-25 13:15:00,1
2019-11-25 13:18:00,1
2019-11-25 13:19:00,1
2019-11-25 13:24:00,1
