4628,"SELECT DISTINCT p.objID, s.ra, s.dec, s.specObjID, s.sciencePrimary, s.run2d, s.instrument, s.plate, s.fiberID, s.mjd FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-25 09:46:00,32
2019-11-25 09:47:00,54
2019-11-25 09:48:00,97
2019-11-25 09:49:00,50
2019-11-25 09:50:00,63
2019-11-25 09:51:00,60
2019-11-25 09:52:00,58
2019-11-25 09:53:00,55
2019-11-25 09:54:00,65
2019-11-25 09:55:00,82
2019-11-25 09:56:00,57
2019-11-25 09:57:00,48
2019-11-25 09:58:00,42
2019-11-25 09:59:00,47
2019-11-25 10:00:00,51
2019-11-25 10:01:00,36
2019-11-25 10:02:00,40
2019-11-25 10:03:00,30
2019-11-25 10:04:00,27
2019-11-25 10:05:00,50
2019-11-25 10:06:00,44
2019-11-25 10:07:00,33
2019-11-25 10:08:00,52
2019-11-25 10:09:00,65
2019-11-25 10:10:00,53
2019-11-25 10:11:00,52
2019-11-25 10:12:00,70
2019-11-25 10:13:00,30
2019-11-25 10:14:00,71
2019-11-25 10:15:00,41
2019-11-25 10:16:00,58
2019-11-25 10:17:00,52
2019-11-25 10:18:00,57
2019-11-25 10:19:00,70
2019-11-25 10:20:00,57
2019-11-25 10:21:00,15
2019-11-25 10:22:00,5
2019-11-25 10:23:00,20
2019-11-25 10:24:00,52
2019-11-25 10:25:00,43
2019-11-25 10:26:00,58
2019-11-25 10:27:00,60
2019-11-25 10:28:00,47
2019-11-25 10:29:00,60
2019-11-25 10:30:00,61
2019-11-25 10:31:00,66
2019-11-25 10:32:00,53
2019-11-25 10:33:00,50
2019-11-25 10:34:00,35
2019-11-25 10:35:00,10
2019-11-25 10:36:00,5
2019-11-25 10:37:00,43
2019-11-25 10:38:00,27
2019-11-25 10:39:00,18
2019-11-25 10:40:00,36
2019-11-25 10:41:00,43
2019-11-25 10:42:00,44
2019-11-25 10:43:00,36
2019-11-25 10:44:00,37
2019-11-25 10:45:00,57
2019-11-25 10:46:00,35
2019-11-25 10:47:00,10
2019-11-25 10:48:00,20
2019-11-25 10:49:00,56
2019-11-25 10:50:00,49
2019-11-25 10:51:00,52
2019-11-25 10:52:00,55
2019-11-25 10:53:00,56
2019-11-25 10:54:00,37
2019-11-25 10:55:00,57
2019-11-25 10:56:00,37
2019-11-25 10:57:00,45
2019-11-25 10:58:00,53
2019-11-25 10:59:00,56
2019-11-25 11:00:00,41
2019-11-25 11:01:00,41
2019-11-25 11:02:00,25
2019-11-25 11:03:00,30
2019-11-25 11:04:00,41
2019-11-25 11:05:00,45
2019-11-25 11:06:00,41
2019-11-25 11:07:00,61
2019-11-25 11:08:00,44
2019-11-25 11:09:00,33
2019-11-25 11:10:00,27
2019-11-25 11:11:00,27
2019-11-25 11:12:00,31
2019-11-25 11:13:00,22
2019-11-25 11:14:00,41
2019-11-25 11:15:00,43
2019-11-25 11:16:00,41
2019-11-25 11:17:00,40
2019-11-25 11:18:00,58
2019-11-25 11:19:00,46
2019-11-25 11:20:00,39
2019-11-25 11:21:00,45
2019-11-25 11:22:00,45
2019-11-25 11:23:00,38
2019-11-25 11:24:00,40
2019-11-25 11:25:00,62
2019-11-25 11:26:00,39
2019-11-25 11:27:00,33
2019-11-25 11:28:00,32
2019-11-25 11:29:00,29
