384,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-11-25 13:07:00,2
2019-11-25 13:08:00,2
2019-11-25 13:09:00,2
2019-11-25 13:10:00,2
2019-11-25 13:11:00,1
2019-11-25 13:12:00,1
2019-11-25 13:14:00,2
2019-11-25 13:15:00,2
2019-11-25 13:16:00,1
2019-11-25 13:17:00,3
2019-11-25 13:18:00,2
2019-11-25 13:19:00,3
2019-11-25 13:20:00,2
2019-11-25 13:21:00,2
2019-11-25 13:22:00,1
2019-11-25 13:23:00,2
2019-11-25 13:24:00,4
2019-11-25 13:25:00,5
2019-11-25 13:26:00,3
2019-11-25 13:27:00,4
2019-11-25 13:28:00,4
2019-11-25 13:29:00,3
2019-11-25 13:30:00,3
2019-11-25 13:31:00,3
2019-11-25 13:32:00,3
2019-11-25 13:33:00,4
2019-11-25 13:34:00,3
2019-11-25 13:35:00,2
2019-11-25 13:36:00,4
2019-11-25 13:37:00,4
2019-11-25 13:38:00,4
2019-11-25 13:39:00,4
2019-11-25 13:40:00,3
2019-11-25 13:41:00,4
2019-11-25 13:42:00,4
2019-11-25 13:43:00,3
2019-11-25 13:44:00,3
2019-11-25 13:45:00,4
2019-11-25 13:46:00,4
2019-11-25 13:47:00,4
2019-11-25 13:48:00,4
2019-11-25 13:49:00,4
2019-11-25 13:50:00,4
2019-11-25 13:51:00,4
2019-11-25 13:52:00,4
2019-11-25 13:53:00,4
2019-11-25 13:54:00,4
2019-11-25 13:55:00,4
2019-11-25 13:56:00,2
2019-11-25 13:57:00,4
2019-11-25 13:58:00,4
2019-11-25 13:59:00,5
2019-11-25 14:00:00,4
2019-11-25 14:01:00,4
2019-11-25 14:02:00,2
2019-11-25 14:03:00,5
2019-11-25 14:04:00,4
2019-11-25 14:05:00,4
2019-11-25 14:06:00,4
2019-11-25 14:07:00,3
2019-11-25 14:08:00,4
2019-11-25 14:09:00,4
2019-11-25 14:10:00,5
2019-11-25 14:11:00,4
2019-11-25 14:12:00,4
2019-11-25 14:13:00,4
2019-11-25 14:14:00,4
2019-11-25 14:15:00,4
2019-11-25 14:16:00,5
2019-11-25 14:17:00,4
2019-11-25 14:18:00,4
2019-11-25 14:19:00,4
2019-11-25 14:20:00,5
2019-11-25 14:21:00,4
2019-11-25 14:22:00,4
2019-11-25 14:23:00,4
2019-11-25 14:24:00,5
2019-11-25 14:25:00,4
2019-11-25 14:26:00,4
2019-11-25 14:27:00,4
2019-11-25 14:28:00,3
2019-11-25 14:29:00,4
2019-11-25 14:30:00,5
2019-11-25 14:31:00,3
2019-11-25 14:32:00,4
2019-11-25 14:33:00,4
2019-11-25 14:34:00,4
2019-11-25 14:35:00,4
2019-11-25 14:36:00,4
2019-11-25 14:37:00,4
2019-11-25 14:38:00,4
2019-11-25 14:39:00,3
2019-11-25 14:40:00,4
2019-11-25 14:41:00,4
2019-11-25 14:42:00,4
2019-11-25 14:43:00,4
2019-11-25 14:44:00,5
2019-11-25 14:45:00,4
2019-11-25 14:46:00,4
2019-11-25 14:47:00,5
2019-11-25 14:48:00,4
2019-11-25 14:49:00,4
2019-11-25 14:50:00,4
2019-11-25 14:51:00,4
2019-11-25 14:52:00,4
2019-11-25 18:53:00,1
2019-11-25 19:32:00,1
2019-11-25 19:44:00,1
2019-11-25 20:08:00,1
2019-11-25 20:09:00,1
2019-11-25 20:17:00,1
2019-11-25 20:31:00,1
