3,"SELECT top # specobjid, ra, dec, z, zerr, class, subclass dbo.fDistanceArcMinEq(#,#,ra,dec) as distance FROM specobj WHERE zwarning = # and z > # and class = QSO&&&"
2019-11-25 02:21:00,2
2019-11-25 02:22:00,1
