1394,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-25 11:43:00,13
2019-11-25 11:44:00,21
2019-11-25 11:45:00,16
2019-11-25 11:46:00,16
2019-11-25 11:47:00,15
2019-11-25 11:48:00,13
2019-11-25 11:49:00,12
2019-11-25 11:50:00,12
2019-11-25 11:51:00,11
2019-11-25 11:52:00,10
2019-11-25 11:53:00,10
2019-11-25 11:54:00,10
2019-11-25 11:55:00,10
2019-11-25 11:56:00,9
2019-11-25 11:57:00,8
2019-11-25 11:58:00,8
2019-11-25 11:59:00,9
2019-11-25 12:00:00,8
2019-11-25 12:01:00,8
2019-11-25 12:02:00,7
2019-11-25 12:03:00,7
2019-11-25 12:04:00,8
2019-11-25 12:05:00,8
2019-11-25 12:06:00,7
2019-11-25 12:07:00,8
2019-11-25 12:08:00,6
2019-11-25 12:09:00,6
2019-11-25 12:10:00,7
2019-11-25 12:11:00,6
2019-11-25 12:12:00,6
2019-11-25 12:13:00,7
2019-11-25 12:14:00,6
2019-11-25 12:15:00,6
2019-11-25 12:16:00,6
2019-11-25 12:17:00,6
2019-11-25 12:18:00,6
2019-11-25 12:19:00,6
2019-11-25 12:20:00,6
2019-11-25 12:21:00,6
2019-11-25 12:22:00,5
2019-11-25 12:23:00,6
2019-11-25 12:24:00,6
2019-11-25 12:25:00,5
2019-11-25 12:26:00,6
2019-11-25 12:27:00,5
2019-11-25 12:28:00,1
2019-11-25 14:47:00,23
2019-11-25 14:48:00,20
2019-11-25 14:49:00,15
2019-11-25 14:50:00,15
2019-11-25 14:51:00,12
2019-11-25 14:52:00,11
2019-11-25 14:53:00,12
2019-11-25 14:54:00,11
2019-11-25 14:55:00,11
2019-11-25 14:56:00,9
2019-11-25 14:57:00,10
2019-11-25 14:58:00,10
2019-11-25 14:59:00,10
2019-11-25 15:00:00,9
2019-11-25 15:01:00,8
2019-11-25 15:02:00,9
2019-11-25 15:03:00,8
2019-11-25 15:04:00,7
2019-11-25 15:05:00,8
2019-11-25 15:06:00,8
2019-11-25 15:07:00,7
2019-11-25 15:08:00,8
2019-11-25 15:09:00,7
2019-11-25 15:10:00,7
2019-11-25 15:11:00,7
2019-11-25 15:12:00,7
2019-11-25 15:13:00,7
2019-11-25 15:14:00,6
2019-11-25 15:15:00,7
2019-11-25 15:16:00,6
2019-11-25 15:17:00,6
2019-11-25 15:18:00,6
2019-11-25 15:19:00,7
2019-11-25 15:20:00,6
2019-11-25 15:21:00,6
2019-11-25 15:22:00,6
2019-11-25 15:23:00,6
2019-11-25 15:24:00,6
2019-11-25 15:25:00,6
2019-11-25 15:26:00,7
2019-11-25 15:27:00,3
2019-11-25 16:18:00,1
2019-11-25 16:19:00,32
2019-11-25 16:20:00,29
2019-11-25 16:21:00,26
2019-11-25 16:22:00,25
2019-11-25 16:23:00,22
2019-11-25 16:24:00,21
2019-11-25 16:25:00,22
2019-11-25 16:26:00,17
2019-11-25 16:27:00,17
2019-11-25 16:28:00,17
2019-11-25 16:29:00,16
2019-11-25 16:30:00,16
2019-11-25 16:31:00,14
2019-11-25 16:32:00,11
2019-11-25 16:33:00,11
2019-11-25 16:34:00,11
2019-11-25 16:35:00,10
2019-11-25 16:36:00,10
2019-11-25 16:37:00,10
2019-11-25 16:38:00,10
2019-11-25 16:39:00,10
2019-11-25 16:40:00,2
2019-11-25 17:18:00,14
2019-11-25 17:19:00,21
2019-11-25 17:20:00,16
2019-11-25 17:21:00,15
2019-11-25 17:22:00,14
2019-11-25 17:23:00,13
2019-11-25 17:24:00,12
2019-11-25 17:25:00,12
2019-11-25 17:26:00,11
2019-11-25 17:27:00,10
2019-11-25 17:28:00,11
2019-11-25 17:29:00,10
2019-11-25 17:30:00,9
2019-11-25 17:31:00,9
2019-11-25 17:32:00,9
2019-11-25 17:33:00,9
2019-11-25 17:34:00,9
2019-11-25 17:35:00,8
2019-11-25 17:36:00,8
2019-11-25 17:37:00,8
2019-11-25 17:38:00,8
2019-11-25 17:39:00,8
2019-11-25 17:40:00,7
2019-11-25 17:41:00,8
2019-11-25 17:42:00,7
2019-11-25 17:43:00,7
2019-11-25 17:44:00,7
2019-11-25 17:45:00,7
2019-11-25 17:46:00,3
