657,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-25 16:37:00,1
2019-11-25 16:39:00,29
2019-11-25 16:40:00,32
2019-11-25 16:41:00,32
2019-11-25 16:42:00,29
2019-11-25 16:43:00,26
2019-11-25 16:44:00,27
2019-11-25 16:45:00,27
2019-11-25 16:46:00,31
2019-11-25 16:47:00,31
2019-11-25 16:48:00,31
2019-11-25 16:49:00,31
2019-11-25 16:50:00,33
2019-11-25 16:51:00,33
2019-11-25 16:52:00,33
2019-11-25 16:53:00,31
2019-11-25 16:54:00,31
2019-11-25 16:55:00,29
2019-11-25 16:56:00,31
2019-11-25 16:57:00,30
2019-11-25 16:58:00,32
2019-11-25 16:59:00,32
2019-11-25 17:00:00,15
