129,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-11-25 10:14:00,1
2019-11-25 10:42:00,1
2019-11-25 10:43:00,3
2019-11-25 10:44:00,2
2019-11-25 10:54:00,4
2019-11-25 10:55:00,4
2019-11-25 10:56:00,3
2019-11-25 10:57:00,5
2019-11-25 10:58:00,3
2019-11-25 13:04:00,1
2019-11-25 15:43:00,3
2019-11-25 15:44:00,5
2019-11-25 15:45:00,2
2019-11-25 15:48:00,3
2019-11-25 15:49:00,3
2019-11-25 15:50:00,1
2019-11-25 15:54:00,4
2019-11-25 15:55:00,7
2019-11-25 15:56:00,1
2019-11-25 15:58:00,1
2019-11-25 15:59:00,4
2019-11-25 16:00:00,4
2019-11-25 16:01:00,3
2019-11-25 16:02:00,8
2019-11-25 16:03:00,3
2019-11-25 16:08:00,3
2019-11-25 16:09:00,8
2019-11-25 16:11:00,9
2019-11-25 16:12:00,3
2019-11-25 16:14:00,1
2019-11-25 16:18:00,11
2019-11-25 16:26:00,1
2019-11-25 16:27:00,6
2019-11-25 16:28:00,6
2019-11-25 16:47:00,2
