1011,"select ra, dec, u, g, r, i, z, TAI_u, TAI_g, TAI_r, TAI_i, TAI_z, err_u, err_g, err_r, err_i, err_z, mE1_u, mE1_g, mE1_r, mE1_i, mE1_z, mE2_u, mE2_g, mE2_r, mE2_i, mE2_z, mCr4_u, mCr4_g, mCr4_r, mCr4_i, mCr4_z from PhotoObjAll where dec < # AND dec > # AND (ra > # AND ra < #)"
2019-11-25 01:49:00,19
2019-11-25 01:50:00,8
2019-11-25 01:51:00,6
2019-11-25 01:52:00,4
2019-11-25 01:53:00,5
2019-11-25 01:54:00,4
2019-11-25 01:55:00,3
2019-11-25 01:56:00,3
2019-11-25 01:57:00,3
2019-11-25 01:58:00,3
2019-11-25 01:59:00,4
2019-11-25 02:00:00,3
2019-11-25 02:01:00,4
2019-11-25 02:02:00,3
2019-11-25 02:03:00,4
2019-11-25 02:04:00,3
2019-11-25 02:05:00,4
2019-11-25 02:06:00,4
2019-11-25 02:07:00,5
2019-11-25 02:08:00,4
2019-11-25 02:09:00,5
2019-11-25 02:10:00,5
2019-11-25 02:11:00,5
2019-11-25 02:12:00,5
2019-11-25 02:13:00,5
2019-11-25 02:14:00,5
2019-11-25 02:15:00,6
2019-11-25 02:16:00,6
2019-11-25 02:17:00,6
2019-11-25 02:18:00,6
2019-11-25 02:19:00,6
2019-11-25 02:20:00,7
2019-11-25 02:21:00,7
2019-11-25 02:22:00,8
2019-11-25 02:23:00,5
2019-11-25 02:24:00,6
2019-11-25 02:25:00,5
2019-11-25 02:26:00,5
2019-11-25 02:27:00,6
2019-11-25 02:28:00,6
2019-11-25 02:29:00,4
2019-11-25 02:30:00,6
2019-11-25 02:31:00,6
2019-11-25 02:32:00,6
2019-11-25 02:33:00,5
2019-11-25 02:34:00,5
2019-11-25 02:35:00,7
2019-11-25 02:36:00,6
2019-11-25 02:37:00,6
2019-11-25 02:38:00,5
2019-11-25 02:39:00,6
2019-11-25 02:40:00,6
2019-11-25 02:41:00,5
2019-11-25 02:42:00,6
2019-11-25 02:43:00,5
2019-11-25 02:44:00,5
2019-11-25 02:45:00,5
2019-11-25 02:46:00,6
2019-11-25 02:47:00,5
2019-11-25 02:48:00,5
2019-11-25 02:49:00,5
2019-11-25 02:50:00,4
2019-11-25 02:51:00,5
2019-11-25 02:52:00,4
2019-11-25 02:53:00,4
2019-11-25 02:54:00,4
2019-11-25 02:55:00,5
2019-11-25 02:56:00,3
2019-11-25 02:57:00,4
2019-11-25 02:58:00,4
2019-11-25 02:59:00,3
2019-11-25 03:00:00,3
2019-11-25 03:01:00,5
2019-11-25 03:02:00,4
2019-11-25 03:03:00,4
2019-11-25 03:04:00,4
2019-11-25 03:05:00,4
2019-11-25 03:06:00,3
2019-11-25 03:07:00,4
2019-11-25 03:08:00,4
2019-11-25 03:09:00,4
2019-11-25 03:10:00,4
2019-11-25 03:11:00,4
2019-11-25 03:12:00,3
2019-11-25 03:13:00,4
2019-11-25 03:14:00,4
2019-11-25 03:15:00,4
2019-11-25 03:16:00,3
2019-11-25 03:17:00,4
2019-11-25 03:18:00,4
2019-11-25 03:19:00,4
2019-11-25 03:20:00,3
2019-11-25 03:21:00,5
2019-11-25 03:22:00,5
2019-11-25 03:23:00,4
2019-11-25 03:24:00,4
2019-11-25 03:25:00,5
2019-11-25 03:26:00,6
2019-11-25 03:27:00,12
2019-11-25 03:28:00,10
2019-11-25 03:29:00,7
2019-11-25 03:30:00,5
2019-11-25 03:31:00,4
2019-11-25 03:32:00,4
2019-11-25 03:33:00,3
2019-11-25 03:34:00,3
2019-11-25 03:35:00,3
2019-11-25 03:36:00,3
2019-11-25 03:37:00,2
2019-11-25 03:38:00,3
2019-11-25 03:39:00,4
2019-11-25 03:40:00,3
2019-11-25 03:41:00,3
2019-11-25 03:42:00,3
2019-11-25 03:43:00,4
2019-11-25 03:44:00,3
2019-11-25 03:45:00,3
2019-11-25 03:46:00,4
2019-11-25 03:47:00,3
2019-11-25 03:48:00,4
2019-11-25 03:49:00,4
2019-11-25 03:50:00,4
2019-11-25 03:51:00,4
2019-11-25 03:52:00,4
2019-11-25 03:53:00,4
2019-11-25 03:54:00,5
2019-11-25 03:55:00,4
2019-11-25 03:56:00,4
2019-11-25 03:57:00,5
2019-11-25 03:58:00,5
2019-11-25 03:59:00,5
2019-11-25 04:00:00,5
2019-11-25 04:01:00,5
2019-11-25 04:02:00,5
2019-11-25 04:03:00,5
2019-11-25 04:04:00,5
2019-11-25 04:05:00,6
2019-11-25 04:06:00,6
2019-11-25 04:07:00,4
2019-11-25 04:08:00,4
2019-11-25 04:09:00,4
2019-11-25 04:10:00,4
2019-11-25 04:11:00,4
2019-11-25 04:12:00,5
2019-11-25 04:13:00,5
2019-11-25 04:14:00,4
2019-11-25 04:15:00,4
2019-11-25 04:16:00,4
2019-11-25 04:17:00,5
2019-11-25 04:18:00,5
2019-11-25 04:19:00,4
2019-11-25 04:20:00,4
2019-11-25 04:21:00,5
2019-11-25 04:22:00,4
2019-11-25 04:23:00,6
2019-11-25 04:24:00,5
2019-11-25 04:25:00,4
2019-11-25 04:26:00,5
2019-11-25 04:27:00,5
2019-11-25 04:28:00,4
2019-11-25 04:29:00,5
2019-11-25 04:30:00,4
2019-11-25 04:31:00,6
2019-11-25 04:32:00,4
2019-11-25 04:33:00,4
2019-11-25 04:34:00,4
2019-11-25 04:35:00,4
2019-11-25 04:36:00,4
2019-11-25 04:37:00,5
2019-11-25 04:38:00,4
2019-11-25 04:39:00,4
2019-11-25 04:40:00,4
2019-11-25 04:41:00,4
2019-11-25 04:42:00,3
2019-11-25 04:43:00,3
2019-11-25 04:44:00,3
2019-11-25 04:45:00,4
2019-11-25 04:46:00,3
2019-11-25 04:47:00,4
2019-11-25 04:48:00,3
2019-11-25 04:49:00,4
2019-11-25 04:50:00,2
2019-11-25 04:51:00,3
2019-11-25 04:52:00,3
2019-11-25 04:53:00,3
2019-11-25 04:54:00,3
2019-11-25 04:55:00,3
2019-11-25 04:56:00,4
2019-11-25 04:57:00,3
2019-11-25 04:58:00,3
2019-11-25 04:59:00,3
2019-11-25 05:00:00,3
2019-11-25 05:01:00,4
2019-11-25 05:02:00,3
2019-11-25 05:03:00,1
2019-11-25 05:04:00,2
2019-11-25 05:05:00,3
2019-11-25 05:06:00,3
2019-11-25 05:07:00,3
2019-11-25 05:08:00,4
2019-11-25 05:09:00,3
2019-11-25 05:10:00,3
2019-11-25 05:11:00,4
2019-11-25 05:12:00,3
2019-11-25 05:13:00,4
2019-11-25 05:14:00,3
2019-11-25 05:15:00,4
2019-11-25 05:16:00,3
