26,"SELECT STR(z,#,#) z, ra, dec FROM specObj WHERE specClass=# AND dec BETWEEN # AND # AND ra BETWEEN # AND #  AND z BETWEEN # AND #"
2019-11-25 00:31:00,1
2019-11-25 00:47:00,1
2019-11-25 01:03:00,1
2019-11-25 01:32:00,1
2019-11-25 03:08:00,1
2019-11-25 04:36:00,1
2019-11-25 04:42:00,1
2019-11-25 06:09:00,1
2019-11-25 06:10:00,1
2019-11-25 07:33:00,1
2019-11-25 08:25:00,1
2019-11-25 13:38:00,2
2019-11-25 14:49:00,1
2019-11-25 15:01:00,1
2019-11-25 15:02:00,2
2019-11-25 15:22:00,2
2019-11-25 15:29:00,2
2019-11-25 15:39:00,1
2019-11-25 15:46:00,3
2019-11-25 16:07:00,1
