115,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-03-09 00:02:00,1
2019-03-09 00:03:00,1
2019-03-09 00:04:00,1
2019-03-09 00:07:00,1
2019-03-09 00:09:00,1
2019-03-09 00:10:00,1
2019-03-09 00:11:00,3
2019-03-09 04:57:00,1
2019-03-09 05:07:00,1
2019-03-09 05:08:00,1
2019-03-09 05:11:00,1
2019-03-09 05:13:00,3
2019-03-09 05:18:00,1
2019-03-09 05:19:00,1
2019-03-09 05:22:00,1
2019-03-09 05:24:00,2
2019-03-09 05:26:00,1
2019-03-09 05:28:00,1
2019-03-09 05:30:00,2
2019-03-09 05:39:00,1
2019-03-09 05:41:00,1
2019-03-09 05:45:00,2
2019-03-09 05:47:00,1
2019-03-09 05:51:00,2
2019-03-09 06:28:00,1
2019-03-09 06:29:00,6
2019-03-09 06:30:00,2
2019-03-09 06:31:00,3
2019-03-09 06:32:00,1
2019-03-09 06:38:00,1
2019-03-09 06:41:00,1
2019-03-09 06:42:00,1
2019-03-09 06:43:00,1
2019-03-09 06:50:00,3
2019-03-09 06:51:00,2
2019-03-09 09:37:00,1
2019-03-09 09:58:00,1
2019-03-09 10:02:00,1
2019-03-09 10:14:00,2
2019-03-09 12:43:00,1
2019-03-09 12:44:00,1
2019-03-09 12:57:00,1
2019-03-09 16:05:00,1
2019-03-09 16:06:00,1
2019-03-09 16:08:00,4
2019-03-09 16:27:00,1
2019-03-09 16:29:00,1
2019-03-09 16:52:00,1
2019-03-09 17:16:00,1
2019-03-09 18:35:00,1
2019-03-09 19:41:00,1
2019-03-09 19:42:00,3
2019-03-09 19:56:00,1
2019-03-09 20:23:00,2
2019-03-09 20:24:00,3
2019-03-09 20:29:00,4
2019-03-09 20:31:00,4
2019-03-09 20:32:00,2
2019-03-09 20:42:00,1
2019-03-09 21:56:00,2
2019-03-09 22:09:00,3
2019-03-09 22:21:00,4
2019-03-09 22:28:00,3
2019-03-09 22:29:00,1
2019-03-09 22:33:00,1
2019-03-09 22:35:00,2
2019-03-09 22:38:00,1
2019-03-09 22:46:00,1
2019-03-09 22:47:00,3
