42,SELECT COUNT(*)
2019-03-09 10:48:00,1
2019-03-09 10:53:00,1
2019-03-09 11:49:00,2
2019-03-09 11:50:00,1
2019-03-09 11:53:00,4
2019-03-09 12:03:00,1
2019-03-09 12:04:00,1
2019-03-09 12:05:00,1
2019-03-09 12:07:00,1
2019-03-09 12:08:00,2
2019-03-09 12:09:00,3
2019-03-09 12:10:00,2
2019-03-09 12:11:00,2
2019-03-09 13:22:00,2
2019-03-09 13:26:00,2
2019-03-09 13:27:00,3
2019-03-09 13:28:00,4
2019-03-09 13:29:00,3
2019-03-09 13:30:00,2
2019-03-09 13:31:00,3
2019-03-09 13:32:00,1
