64,select distinct parent from DBViewCols where viewname=&&&
2019-03-09 00:03:00,1
2019-03-09 00:04:00,1
2019-03-09 00:11:00,1
2019-03-09 01:26:00,1
2019-03-09 02:11:00,1
2019-03-09 02:12:00,1
2019-03-09 02:49:00,1
2019-03-09 02:52:00,1
2019-03-09 04:07:00,1
2019-03-09 04:40:00,1
2019-03-09 04:42:00,1
2019-03-09 05:01:00,1
2019-03-09 05:13:00,3
2019-03-09 05:28:00,1
2019-03-09 05:39:00,3
2019-03-09 05:51:00,2
2019-03-09 06:05:00,1
2019-03-09 06:29:00,1
2019-03-09 06:30:00,2
2019-03-09 06:31:00,2
2019-03-09 06:43:00,1
2019-03-09 06:51:00,2
2019-03-09 11:22:00,1
2019-03-09 11:39:00,1
2019-03-09 13:50:00,5
2019-03-09 13:51:00,5
2019-03-09 14:14:00,1
2019-03-09 14:52:00,1
2019-03-09 16:08:00,1
2019-03-09 17:16:00,1
2019-03-09 18:04:00,2
2019-03-09 18:05:00,1
2019-03-09 18:11:00,1
2019-03-09 18:13:00,1
2019-03-09 18:35:00,1
2019-03-09 19:56:00,1
2019-03-09 20:03:00,1
2019-03-09 20:29:00,2
2019-03-09 21:54:00,1
2019-03-09 22:21:00,4
2019-03-09 22:38:00,1
2019-03-09 22:46:00,1
2019-03-09 23:03:00,1
