1271,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-09 04:43:00,1
2019-03-09 13:34:00,38
2019-03-09 13:35:00,43
2019-03-09 13:37:00,24
2019-03-09 13:41:00,49
2019-03-09 13:43:00,28
2019-03-09 13:44:00,37
2019-03-09 13:47:00,53
2019-03-09 13:50:00,55
2019-03-09 13:51:00,9
2019-03-09 13:52:00,28
2019-03-09 14:01:00,72
2019-03-09 14:02:00,20
2019-03-09 14:03:00,3
2019-03-09 14:08:00,21
2019-03-09 14:09:00,24
2019-03-09 14:18:00,51
2019-03-09 14:26:00,15
2019-03-09 14:27:00,72
2019-03-09 14:28:00,32
2019-03-09 14:31:00,59
2019-03-09 14:33:00,98
2019-03-09 14:34:00,16
2019-03-09 14:35:00,29
2019-03-09 14:37:00,1
2019-03-09 14:38:00,27
2019-03-09 14:43:00,113
2019-03-09 14:50:00,80
2019-03-09 14:51:00,18
2019-03-09 14:52:00,6
2019-03-09 14:53:00,13
2019-03-09 14:54:00,108
2019-03-09 14:55:00,28
