281,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-09 00:00:00,1
2019-03-09 00:13:00,1
2019-03-09 00:21:00,1
2019-03-09 00:27:00,1
2019-03-09 00:34:00,1
2019-03-09 00:35:00,1
2019-03-09 00:45:00,1
2019-03-09 00:52:00,1
2019-03-09 00:53:00,1
2019-03-09 00:54:00,1
2019-03-09 01:04:00,1
2019-03-09 01:16:00,1
2019-03-09 01:18:00,1
2019-03-09 01:23:00,1
2019-03-09 01:30:00,1
2019-03-09 01:38:00,1
2019-03-09 01:40:00,1
2019-03-09 01:47:00,1
2019-03-09 01:56:00,1
2019-03-09 02:00:00,1
2019-03-09 02:08:00,1
2019-03-09 02:11:00,1
2019-03-09 02:22:00,1
2019-03-09 02:33:00,1
2019-03-09 02:38:00,5
2019-03-09 02:59:00,1
2019-03-09 03:01:00,1
2019-03-09 03:04:00,1
2019-03-09 03:08:00,1
2019-03-09 03:22:00,1
2019-03-09 03:24:00,1
2019-03-09 03:27:00,1
2019-03-09 03:28:00,1
2019-03-09 03:45:00,2
2019-03-09 03:50:00,1
2019-03-09 03:54:00,1
2019-03-09 04:08:00,1
2019-03-09 04:09:00,1
2019-03-09 04:11:00,1
2019-03-09 04:18:00,1
2019-03-09 04:31:00,1
2019-03-09 04:33:00,1
2019-03-09 04:35:00,1
2019-03-09 04:40:00,1
2019-03-09 04:54:00,1
2019-03-09 05:00:00,1
2019-03-09 05:10:00,1
2019-03-09 05:13:00,1
2019-03-09 05:22:00,1
2019-03-09 05:24:00,1
2019-03-09 05:32:00,1
2019-03-09 05:40:00,5
2019-03-09 05:54:00,1
2019-03-09 06:02:00,1
2019-03-09 06:09:00,1
2019-03-09 06:16:00,1
2019-03-09 06:25:00,2
2019-03-09 06:36:00,1
2019-03-09 06:40:00,1
2019-03-09 06:52:00,1
2019-03-09 06:55:00,1
2019-03-09 07:06:00,1
2019-03-09 07:12:00,6
2019-03-09 07:28:00,1
2019-03-09 07:32:00,2
2019-03-09 07:42:00,1
2019-03-09 07:44:00,1
2019-03-09 07:46:00,1
2019-03-09 07:51:00,1
2019-03-09 08:00:00,1
2019-03-09 08:02:00,1
2019-03-09 08:08:00,1
2019-03-09 08:11:00,1
2019-03-09 08:17:00,1
2019-03-09 08:23:00,1
2019-03-09 08:24:00,1
2019-03-09 08:35:00,1
2019-03-09 08:40:00,1
2019-03-09 08:41:00,1
2019-03-09 08:42:00,1
2019-03-09 08:55:00,1
2019-03-09 08:58:00,1
2019-03-09 08:59:00,1
2019-03-09 09:07:00,1
2019-03-09 09:10:00,1
2019-03-09 09:16:00,1
2019-03-09 09:20:00,1
2019-03-09 09:28:00,1
2019-03-09 09:30:00,1
