648,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and #
2019-03-09 02:38:00,19
2019-03-09 05:40:00,40
2019-03-09 06:24:00,2
2019-03-09 06:25:00,4
2019-03-09 10:40:00,3
2019-03-09 10:46:00,1
2019-03-09 10:51:00,6
2019-03-09 11:27:00,3
2019-03-09 11:39:00,15
2019-03-09 12:04:00,2
2019-03-09 12:30:00,28
2019-03-09 13:16:00,9
2019-03-09 13:54:00,21
2019-03-09 14:09:00,9
2019-03-09 16:31:00,14
2019-03-09 17:55:00,1
2019-03-09 19:28:00,453
2019-03-09 19:29:00,13
2019-03-09 20:29:00,1
2019-03-09 23:14:00,4
