31,SELECT COUNT(*)
2019-03-04 08:00:00,1
2019-03-04 08:47:00,1
2019-03-04 09:12:00,2
2019-03-04 09:17:00,1
2019-03-04 18:02:00,1
2019-03-04 18:08:00,1
2019-03-04 18:10:00,1
2019-03-04 18:11:00,1
2019-03-04 18:26:00,3
2019-03-04 18:27:00,1
2019-03-04 19:16:00,1
2019-03-04 21:33:00,1
2019-03-04 21:44:00,2
2019-03-04 21:45:00,1
2019-03-04 21:46:00,2
2019-03-04 21:47:00,2
2019-03-04 21:48:00,2
2019-03-04 21:49:00,2
2019-03-04 21:50:00,2
2019-03-04 21:51:00,1
2019-03-04 21:52:00,1
2019-03-04 21:53:00,1
