253,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-03-04 19:55:00,5
2019-03-04 19:56:00,11
2019-03-04 19:57:00,7
2019-03-04 19:58:00,9
2019-03-04 19:59:00,1
2019-03-04 20:00:00,5
2019-03-04 20:01:00,3
2019-03-04 20:02:00,6
2019-03-04 20:03:00,4
2019-03-04 20:04:00,5
2019-03-04 20:05:00,5
2019-03-04 20:06:00,7
2019-03-04 20:07:00,5
2019-03-04 20:08:00,4
2019-03-04 20:09:00,4
2019-03-04 20:10:00,5
2019-03-04 20:11:00,2
2019-03-04 20:12:00,3
2019-03-04 20:13:00,3
2019-03-04 20:14:00,2
2019-03-04 20:15:00,1
2019-03-04 20:16:00,2
2019-03-04 20:17:00,6
2019-03-04 20:19:00,3
2019-03-04 20:20:00,4
2019-03-04 20:21:00,1
2019-03-04 20:22:00,2
2019-03-04 20:23:00,2
2019-03-04 20:26:00,2
2019-03-04 20:27:00,1
2019-03-04 20:29:00,5
2019-03-04 20:30:00,1
2019-03-04 20:31:00,1
2019-03-04 20:41:00,1
2019-03-04 21:34:00,5
2019-03-04 21:35:00,4
2019-03-04 21:36:00,5
2019-03-04 21:37:00,3
2019-03-04 21:38:00,3
2019-03-04 21:39:00,5
2019-03-04 21:40:00,2
2019-03-04 21:41:00,3
2019-03-04 21:42:00,4
2019-03-04 21:44:00,1
2019-03-04 21:45:00,3
2019-03-04 21:46:00,2
2019-03-04 21:47:00,4
2019-03-04 21:48:00,7
2019-03-04 21:49:00,3
2019-03-04 21:50:00,5
2019-03-04 21:51:00,6
2019-03-04 21:52:00,5
2019-03-04 21:53:00,8
2019-03-04 21:54:00,6
2019-03-04 21:55:00,2
2019-03-04 21:56:00,3
2019-03-04 21:57:00,2
2019-03-04 21:58:00,6
2019-03-04 21:59:00,5
2019-03-04 22:00:00,3
2019-03-04 22:01:00,4
2019-03-04 22:02:00,1
2019-03-04 22:03:00,1
2019-03-04 22:04:00,2
2019-03-04 22:05:00,3
2019-03-04 22:07:00,2
2019-03-04 22:08:00,1
2019-03-04 22:09:00,1
2019-03-04 22:25:00,1
2019-03-04 22:26:00,1
2019-03-04 22:27:00,3
