233,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and #
2019-03-04 05:53:00,1
2019-03-04 05:55:00,3
2019-03-04 05:57:00,2
2019-03-04 05:58:00,2
2019-03-04 06:00:00,1
2019-03-04 06:02:00,2
2019-03-04 06:04:00,1
2019-03-04 06:08:00,1
2019-03-04 06:13:00,1
2019-03-04 06:16:00,1
2019-03-04 06:25:00,1
2019-03-04 06:27:00,1
2019-03-04 06:34:00,1
2019-03-04 06:35:00,1
2019-03-04 06:36:00,1
2019-03-04 06:38:00,3
2019-03-04 06:39:00,1
2019-03-04 06:41:00,1
2019-03-04 06:43:00,2
2019-03-04 06:44:00,1
2019-03-04 06:47:00,1
2019-03-04 06:49:00,1
2019-03-04 06:53:00,1
2019-03-04 06:54:00,2
2019-03-04 09:00:00,2
2019-03-04 09:01:00,1
2019-03-04 09:02:00,2
2019-03-04 09:03:00,3
2019-03-04 09:04:00,1
2019-03-04 09:05:00,1
2019-03-04 09:06:00,2
2019-03-04 09:07:00,1
2019-03-04 09:10:00,1
2019-03-04 09:11:00,1
2019-03-04 09:12:00,1
2019-03-04 11:15:00,2
2019-03-04 11:16:00,1
2019-03-04 11:17:00,1
2019-03-04 11:18:00,1
2019-03-04 11:20:00,1
2019-03-04 11:21:00,1
2019-03-04 11:23:00,2
2019-03-04 16:37:00,5
2019-03-04 16:38:00,7
2019-03-04 16:39:00,4
2019-03-04 16:40:00,4
2019-03-04 16:41:00,3
2019-03-04 16:42:00,5
2019-03-04 16:43:00,3
2019-03-04 16:44:00,4
2019-03-04 16:45:00,5
2019-03-04 16:46:00,2
2019-03-04 16:57:00,8
2019-03-04 16:58:00,2
2019-03-04 16:59:00,2
2019-03-04 17:00:00,2
2019-03-04 17:01:00,3
2019-03-04 17:02:00,1
2019-03-04 17:06:00,2
2019-03-04 17:07:00,2
2019-03-04 17:09:00,2
2019-03-04 17:10:00,1
2019-03-04 17:11:00,1
2019-03-04 17:12:00,2
2019-03-04 17:13:00,2
2019-03-04 17:14:00,6
2019-03-04 17:15:00,6
2019-03-04 17:16:00,2
2019-03-04 17:17:00,1
2019-03-04 17:18:00,1
2019-03-04 17:20:00,1
2019-03-04 17:21:00,2
2019-03-04 17:23:00,1
2019-03-04 17:24:00,1
2019-03-04 17:26:00,2
2019-03-04 17:27:00,1
2019-03-04 17:28:00,3
2019-03-04 17:29:00,2
2019-03-04 17:30:00,2
2019-03-04 17:31:00,2
2019-03-04 17:33:00,1
2019-03-04 17:36:00,7
2019-03-04 17:37:00,4
2019-03-04 17:38:00,7
2019-03-04 17:39:00,1
2019-03-04 17:40:00,4
2019-03-04 17:41:00,3
2019-03-04 17:42:00,4
2019-03-04 17:43:00,3
2019-03-04 17:44:00,1
2019-03-04 17:45:00,1
2019-03-04 17:46:00,3
2019-03-04 17:47:00,4
2019-03-04 17:48:00,3
2019-03-04 17:49:00,1
2019-03-04 17:50:00,1
2019-03-04 17:51:00,4
2019-03-04 17:52:00,1
2019-03-04 17:53:00,4
2019-03-04 17:54:00,4
2019-03-04 20:52:00,1
2019-03-04 20:53:00,1
2019-03-04 20:54:00,2
2019-03-04 20:58:00,1
2019-03-04 23:22:00,1
2019-03-04 23:23:00,1
2019-03-04 23:24:00,1
2019-03-04 23:25:00,1
