3067,"SELECT objid, aperFlux7_u, aperFlux7Ivar_u, aperFlux7_g, aperFlux7Ivar_g, aperFlux7_r, aperFlux7Ivar_r, aperFlux7_i, aperFlux7Ivar_i, aperFlux7_z, aperFlux7Ivar_z FROM PhotoObj WHERE objid=#"
2019-03-04 00:22:00,2
2019-03-04 00:23:00,5
2019-03-04 00:24:00,3
2019-03-04 00:25:00,4
2019-03-04 00:26:00,3
2019-03-04 00:27:00,4
2019-03-04 00:28:00,4
2019-03-04 00:29:00,4
2019-03-04 00:30:00,3
2019-03-04 00:31:00,4
2019-03-04 00:32:00,4
2019-03-04 00:33:00,5
2019-03-04 00:34:00,3
2019-03-04 00:35:00,4
2019-03-04 00:36:00,4
2019-03-04 00:37:00,4
2019-03-04 00:38:00,5
2019-03-04 00:39:00,3
2019-03-04 00:40:00,4
2019-03-04 00:41:00,4
2019-03-04 00:42:00,3
2019-03-04 00:43:00,4
2019-03-04 00:44:00,4
2019-03-04 00:45:00,4
2019-03-04 00:46:00,4
2019-03-04 00:47:00,4
2019-03-04 00:48:00,4
2019-03-04 00:49:00,4
2019-03-04 00:50:00,4
2019-03-04 00:51:00,4
2019-03-04 00:52:00,3
2019-03-04 00:53:00,4
2019-03-04 00:54:00,5
2019-03-04 00:55:00,4
2019-03-04 00:56:00,5
2019-03-04 00:57:00,4
2019-03-04 00:58:00,3
2019-03-04 00:59:00,4
2019-03-04 01:00:00,4
2019-03-04 01:01:00,5
2019-03-04 01:02:00,3
2019-03-04 01:03:00,5
2019-03-04 01:04:00,3
2019-03-04 01:05:00,4
2019-03-04 01:06:00,4
2019-03-04 01:07:00,3
2019-03-04 01:08:00,4
2019-03-04 01:09:00,5
2019-03-04 01:10:00,3
2019-03-04 01:11:00,4
2019-03-04 01:12:00,4
2019-03-04 01:13:00,3
2019-03-04 01:14:00,5
2019-03-04 01:15:00,3
2019-03-04 01:16:00,5
2019-03-04 01:17:00,4
2019-03-04 01:18:00,4
2019-03-04 01:19:00,3
2019-03-04 01:20:00,5
2019-03-04 01:21:00,5
2019-03-04 01:22:00,3
2019-03-04 01:23:00,3
2019-03-04 01:24:00,4
2019-03-04 01:25:00,4
2019-03-04 01:26:00,4
2019-03-04 01:27:00,4
2019-03-04 01:28:00,3
2019-03-04 01:29:00,4
2019-03-04 01:30:00,3
2019-03-04 01:31:00,4
2019-03-04 01:32:00,4
2019-03-04 01:33:00,3
2019-03-04 01:34:00,4
2019-03-04 01:35:00,4
2019-03-04 01:36:00,4
2019-03-04 01:37:00,4
2019-03-04 01:38:00,4
2019-03-04 01:39:00,4
2019-03-04 01:40:00,4
2019-03-04 01:41:00,3
2019-03-04 01:42:00,5
2019-03-04 01:43:00,4
2019-03-04 01:44:00,4
2019-03-04 01:45:00,4
2019-03-04 01:46:00,3
2019-03-04 01:47:00,4
2019-03-04 01:48:00,4
2019-03-04 01:49:00,4
2019-03-04 01:50:00,4
2019-03-04 01:51:00,4
2019-03-04 01:52:00,3
2019-03-04 01:53:00,5
2019-03-04 01:54:00,3
2019-03-04 01:55:00,4
2019-03-04 01:56:00,3
2019-03-04 01:57:00,4
2019-03-04 01:58:00,4
2019-03-04 01:59:00,4
2019-03-04 02:00:00,3
2019-03-04 02:01:00,5
2019-03-04 02:02:00,3
2019-03-04 02:03:00,4
2019-03-04 02:04:00,4
2019-03-04 02:05:00,4
2019-03-04 02:06:00,4
2019-03-04 02:07:00,5
2019-03-04 02:08:00,3
2019-03-04 02:09:00,5
2019-03-04 02:10:00,3
2019-03-04 02:11:00,4
2019-03-04 02:12:00,5
2019-03-04 02:13:00,4
2019-03-04 02:14:00,3
2019-03-04 02:15:00,4
2019-03-04 02:16:00,4
2019-03-04 02:17:00,4
2019-03-04 02:18:00,4
2019-03-04 02:19:00,4
2019-03-04 02:20:00,4
2019-03-04 02:21:00,3
2019-03-04 02:22:00,4
2019-03-04 02:23:00,4
2019-03-04 02:24:00,4
2019-03-04 02:25:00,4
2019-03-04 02:26:00,3
2019-03-04 02:27:00,4
2019-03-04 02:28:00,4
2019-03-04 02:29:00,4
2019-03-04 02:30:00,4
2019-03-04 02:31:00,1
2019-03-04 10:34:00,4
2019-03-04 10:35:00,4
2019-03-04 10:36:00,4
2019-03-04 10:37:00,4
2019-03-04 10:38:00,4
2019-03-04 10:39:00,3
2019-03-04 10:40:00,4
2019-03-04 10:41:00,4
2019-03-04 10:42:00,4
2019-03-04 10:43:00,4
2019-03-04 10:44:00,4
