12,"select   psfMag_r, psfMagErr_r,  petroR5#_r, petroR5#Err_r, petroR9#_r, petroR9#Err_r,   deVRad_r, deVRadErr_r, deVAB_r, deVABErr_r,   expRad_r, expRadErr_r, expAB_r, expABErr_r,  gx.spiral, gx.elliptical  from PhotoObjAll as phot  join dbo.zooSpec as gx on phot.objID=gx.objid  where gx.uncertain = #"
2019-03-04 00:49:00,1
2019-03-04 02:18:00,1
2019-03-04 02:47:00,1
2019-03-04 05:34:00,1
2019-03-04 14:22:00,1
2019-03-04 15:26:00,1
2019-03-04 15:55:00,1
2019-03-04 18:55:00,1
2019-03-04 19:49:00,1
2019-03-04 20:24:00,1
2019-03-04 20:26:00,1
2019-03-04 21:35:00,1
