13,"SELECT u.up_name as [name],     p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,    dbo.fPhotoTypeN(p.type) as type,    p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z  FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID=p.objID  ORDER BY x.up_id"
2019-03-04 01:21:00,1
2019-03-04 02:35:00,1
2019-03-04 02:36:00,1
2019-03-04 03:10:00,1
2019-03-04 03:25:00,1
2019-03-04 03:28:00,1
2019-03-04 06:28:00,2
2019-03-04 06:29:00,1
2019-03-04 06:32:00,1
2019-03-04 06:40:00,1
2019-03-04 06:41:00,1
2019-03-04 20:56:00,1
