234,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-04 06:04:00,1
2019-03-04 06:05:00,1
2019-03-04 06:23:00,1
2019-03-04 06:27:00,1
2019-03-04 06:29:00,1
2019-03-04 06:37:00,1
2019-03-04 06:40:00,1
2019-03-04 06:41:00,2
2019-03-04 06:42:00,1
2019-03-04 06:43:00,1
2019-03-04 06:45:00,1
2019-03-04 06:47:00,1
2019-03-04 06:48:00,1
2019-03-04 06:50:00,1
2019-03-04 06:51:00,1
2019-03-04 06:52:00,1
2019-03-04 15:10:00,1
2019-03-04 15:11:00,2
2019-03-04 15:12:00,2
2019-03-04 15:13:00,2
2019-03-04 15:15:00,1
2019-03-04 16:37:00,1
2019-03-04 16:39:00,1
2019-03-04 16:43:00,1
2019-03-04 16:47:00,1
2019-03-04 17:22:00,1
2019-03-04 17:23:00,1
2019-03-04 17:27:00,1
2019-03-04 17:34:00,1
2019-03-04 20:34:00,4
2019-03-04 20:37:00,9
2019-03-04 20:49:00,6
2019-03-04 20:50:00,12
2019-03-04 20:51:00,7
2019-03-04 20:54:00,1
2019-03-04 20:55:00,3
2019-03-04 22:03:00,2
2019-03-04 22:10:00,7
2019-03-04 22:24:00,8
2019-03-04 22:36:00,1
2019-03-04 22:37:00,22
2019-03-04 22:38:00,8
2019-03-04 22:49:00,3
2019-03-04 22:51:00,1
2019-03-04 23:10:00,29
2019-03-04 23:22:00,2
2019-03-04 23:23:00,3
2019-03-04 23:24:00,4
2019-03-04 23:25:00,2
2019-03-04 23:27:00,1
2019-03-04 23:28:00,4
2019-03-04 23:29:00,1
2019-03-04 23:39:00,61
