44254,"SELECT TOP # s.ra, s.dec, s.specobjid, s.z, s.zErr, s.zWarning, s.sciencePrimary, s.class, s.subclass, p.type FROM ..SpecObj as s LEFT JOIN ..PhotoObj AS p ON s.bestObjID=p.objID JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID"
2019-03-04 00:00:00,53
2019-03-04 00:01:00,54
2019-03-04 00:02:00,60
2019-03-04 00:03:00,56
2019-03-04 00:04:00,67
2019-03-04 00:05:00,63
2019-03-04 00:06:00,53
2019-03-04 00:07:00,64
2019-03-04 00:08:00,65
2019-03-04 00:09:00,56
2019-03-04 00:10:00,77
2019-03-04 00:11:00,62
2019-03-04 00:12:00,70
2019-03-04 00:13:00,70
2019-03-04 00:14:00,70
2019-03-04 00:15:00,56
2019-03-04 00:16:00,56
2019-03-04 00:17:00,83
2019-03-04 00:18:00,81
2019-03-04 00:19:00,65
2019-03-04 00:20:00,72
2019-03-04 00:21:00,52
2019-03-04 00:22:00,64
2019-03-04 00:23:00,60
2019-03-04 00:24:00,60
2019-03-04 00:25:00,63
2019-03-04 00:26:00,56
2019-03-04 00:27:00,56
2019-03-04 00:28:00,71
2019-03-04 00:29:00,76
2019-03-04 00:30:00,74
2019-03-04 00:31:00,55
2019-03-04 00:32:00,84
2019-03-04 00:33:00,78
2019-03-04 00:34:00,59
2019-03-04 00:35:00,84
2019-03-04 00:36:00,61
2019-03-04 00:37:00,54
2019-03-04 00:38:00,49
2019-03-04 00:39:00,74
2019-03-04 00:40:00,73
2019-03-04 00:41:00,68
2019-03-04 00:42:00,85
2019-03-04 00:43:00,56
2019-03-04 00:44:00,69
2019-03-04 00:45:00,54
2019-03-04 00:46:00,60
2019-03-04 00:47:00,62
2019-03-04 00:48:00,52
2019-03-04 00:49:00,49
2019-03-04 00:50:00,68
2019-03-04 00:51:00,75
2019-03-04 00:52:00,57
2019-03-04 00:53:00,49
2019-03-04 00:54:00,53
2019-03-04 00:55:00,57
2019-03-04 00:56:00,57
2019-03-04 00:57:00,59
2019-03-04 00:58:00,57
2019-03-04 00:59:00,69
2019-03-04 01:00:00,93
2019-03-04 01:01:00,85
2019-03-04 01:02:00,91
2019-03-04 01:03:00,89
2019-03-04 01:04:00,52
2019-03-04 01:05:00,52
2019-03-04 01:06:00,68
2019-03-04 01:07:00,64
2019-03-04 01:08:00,69
2019-03-04 01:09:00,68
2019-03-04 01:10:00,64
2019-03-04 01:11:00,74
2019-03-04 01:12:00,55
2019-03-04 01:13:00,62
2019-03-04 01:14:00,73
2019-03-04 01:15:00,57
2019-03-04 01:16:00,64
2019-03-04 01:17:00,73
2019-03-04 01:18:00,43
2019-03-04 01:19:00,74
2019-03-04 01:20:00,82
2019-03-04 01:21:00,70
2019-03-04 01:22:00,63
2019-03-04 01:23:00,66
2019-03-04 01:24:00,51
2019-03-04 01:25:00,61
