38,select objid from photoprimary where photoprimary.dec between # and .# and photoprimary.ra between # and #
2019-03-04 06:00:00,4
2019-03-04 06:13:00,1
2019-03-04 06:17:00,1
2019-03-04 06:24:00,1
2019-03-04 06:28:00,1
2019-03-04 06:33:00,2
2019-03-04 06:41:00,1
2019-03-04 06:42:00,3
2019-03-04 15:35:00,2
2019-03-04 15:40:00,2
2019-03-04 15:44:00,1
2019-03-04 15:48:00,1
2019-03-04 15:57:00,1
2019-03-04 16:03:00,1
2019-03-04 16:07:00,1
2019-03-04 16:12:00,3
2019-03-04 16:15:00,1
2019-03-04 16:17:00,2
2019-03-04 16:19:00,1
2019-03-04 16:22:00,1
2019-03-04 17:36:00,1
2019-03-04 17:37:00,1
2019-03-04 17:38:00,2
2019-03-04 17:41:00,1
2019-03-04 17:45:00,2
