33,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-04 00:26:00,1
2019-03-04 00:30:00,1
2019-03-04 00:41:00,1
2019-03-04 00:46:00,1
2019-03-04 00:57:00,1
2019-03-04 01:04:00,1
2019-03-04 11:52:00,1
2019-03-04 11:58:00,1
2019-03-04 12:18:00,1
2019-03-04 12:24:00,1
2019-03-04 12:33:00,1
2019-03-04 12:41:00,1
2019-03-04 12:55:00,1
2019-03-04 13:06:00,1
2019-03-04 13:14:00,1
2019-03-04 13:29:00,1
2019-03-04 13:35:00,1
2019-03-04 13:44:00,1
2019-03-04 13:51:00,1
2019-03-04 14:05:00,1
2019-03-04 14:14:00,1
2019-03-04 14:22:00,1
2019-03-04 14:25:00,1
2019-03-04 14:30:00,1
2019-03-04 14:50:00,1
2019-03-04 14:53:00,1
2019-03-04 14:58:00,1
2019-03-04 15:00:00,1
2019-03-04 15:28:00,1
2019-03-04 15:36:00,1
2019-03-04 15:43:00,1
2019-03-04 16:02:00,1
2019-03-04 16:09:00,1
