11,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.z,s.zErr,p.err_g,p.err_r,p.g,p.r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.z > # AND (s.class = &&&) AND s.z < # AND p.r > # AND p.r < # AND s.zWarning = # AND ( p.type = #) AND (s.primTarget & (dbo.fPrimTarget(&&&)) > #)"
2019-03-04 14:31:00,2
2019-03-04 14:34:00,1
2019-03-04 14:36:00,1
2019-03-04 14:37:00,1
2019-03-04 14:38:00,1
2019-03-04 14:39:00,1
2019-03-04 14:47:00,1
2019-03-04 14:48:00,1
2019-03-04 14:49:00,1
2019-03-04 14:50:00,1
