11499,"SELECT ra, dec, mjd, modelMag_g, modelMagErr_g, modelMag_r, modelMagErr_r, modelMag_i, modelMagErr_i FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-03-04 08:30:00,2
2019-03-04 08:39:00,97
2019-03-04 08:40:00,161
2019-03-04 08:41:00,159
2019-03-04 08:42:00,161
2019-03-04 08:43:00,164
2019-03-04 08:44:00,163
2019-03-04 08:45:00,163
2019-03-04 08:46:00,168
2019-03-04 08:47:00,161
2019-03-04 08:48:00,166
2019-03-04 08:49:00,166
2019-03-04 08:50:00,167
2019-03-04 08:51:00,160
2019-03-04 08:52:00,125
2019-03-04 08:53:00,166
2019-03-04 08:54:00,164
2019-03-04 08:55:00,165
2019-03-04 08:56:00,77
2019-03-04 08:57:00,97
2019-03-04 08:58:00,168
2019-03-04 08:59:00,168
2019-03-04 09:00:00,165
2019-03-04 09:01:00,165
2019-03-04 09:02:00,159
2019-03-04 09:03:00,161
2019-03-04 09:04:00,164
2019-03-04 09:05:00,125
2019-03-04 09:06:00,164
2019-03-04 09:07:00,162
2019-03-04 09:08:00,167
2019-03-04 09:09:00,165
2019-03-04 09:10:00,166
2019-03-04 09:11:00,167
2019-03-04 09:12:00,157
2019-03-04 09:13:00,165
2019-03-04 09:14:00,159
2019-03-04 09:15:00,165
2019-03-04 09:16:00,159
2019-03-04 09:17:00,138
2019-03-04 09:18:00,203
2019-03-04 09:19:00,303
2019-03-04 09:20:00,312
2019-03-04 09:21:00,320
2019-03-04 09:22:00,318
2019-03-04 09:23:00,321
2019-03-04 09:24:00,322
2019-03-04 09:25:00,311
2019-03-04 09:26:00,281
2019-03-04 09:27:00,298
2019-03-04 09:28:00,183
2019-03-04 09:29:00,161
2019-03-04 09:30:00,152
2019-03-04 09:31:00,160
2019-03-04 09:32:00,32
2019-03-04 09:40:00,43
2019-03-04 09:41:00,146
2019-03-04 09:42:00,155
2019-03-04 09:43:00,149
2019-03-04 09:44:00,140
2019-03-04 09:45:00,150
2019-03-04 09:46:00,147
2019-03-04 09:47:00,149
2019-03-04 09:48:00,123
2019-03-04 09:49:00,133
2019-03-04 09:50:00,125
2019-03-04 09:51:00,126
2019-03-04 09:52:00,127
2019-03-04 09:53:00,47
2019-03-04 12:01:00,1
