17,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-04 11:24:00,1
2019-03-04 11:25:00,1
2019-03-04 11:26:00,1
2019-03-04 11:27:00,2
2019-03-04 11:28:00,2
2019-03-04 11:29:00,2
2019-03-04 11:30:00,3
2019-03-04 11:31:00,1
2019-03-04 11:32:00,1
2019-03-04 11:37:00,1
2019-03-04 11:39:00,1
2019-03-04 13:30:00,1
