60,"SELECT x.ra, x.dec, s.specObjID, s.oii_#_flux as OII3#, s.oiii_#_flux as OIII4#, s.oiii_#_flux as OIII5#,s.h_beta_flux as HBeta,s.nii_#_flux as NII6#,x.logMass as logM FROM fGetNearbySpecObjEq(#,#,#) n JOIN galSpecLine s ON n.specObjID=s.specObjID JOIN stellarMassFSPSGranEarlyDust x ON x.specObjID = s.specObjID"
2019-03-04 03:16:00,1
2019-03-04 03:40:00,7
2019-03-04 03:41:00,8
2019-03-04 03:42:00,3
2019-03-04 03:43:00,2
2019-03-04 03:45:00,8
2019-03-04 03:46:00,4
2019-03-04 03:47:00,5
2019-03-04 03:49:00,8
2019-03-04 03:50:00,2
2019-03-04 04:21:00,2
2019-03-04 04:22:00,4
2019-03-04 18:51:00,5
2019-03-04 18:52:00,1
