2351,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-03-04 03:23:00,1
2019-03-04 03:24:00,9
2019-03-04 09:27:00,14
2019-03-04 09:29:00,5
2019-03-04 09:30:00,2
2019-03-04 18:17:00,14
2019-03-04 18:18:00,4
2019-03-04 18:20:00,8
2019-03-04 18:21:00,41
2019-03-04 18:22:00,1
2019-03-04 20:29:00,9
2019-03-04 20:34:00,16
2019-03-04 20:37:00,132
2019-03-04 20:39:00,2
2019-03-04 20:46:00,13
2019-03-04 20:47:00,3
2019-03-04 20:48:00,157
2019-03-04 20:49:00,17
2019-03-04 20:50:00,104
2019-03-04 20:51:00,220
2019-03-04 20:52:00,6
2019-03-04 21:06:00,26
2019-03-04 21:17:00,39
2019-03-04 22:02:00,22
2019-03-04 22:03:00,59
2019-03-04 22:38:00,18
2019-03-04 22:50:00,48
2019-03-04 22:52:00,26
2019-03-04 23:04:00,167
2019-03-04 23:05:00,848
2019-03-04 23:10:00,152
2019-03-04 23:11:00,83
2019-03-04 23:41:00,58
2019-03-04 23:42:00,18
2019-03-04 23:51:00,1
2019-03-04 23:55:00,3
2019-03-04 23:56:00,5
