387,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between -.# and #
2019-03-06 05:12:00,26
2019-03-06 05:13:00,85
2019-03-06 05:14:00,32
2019-03-06 05:15:00,23
2019-03-06 05:16:00,1
2019-03-06 05:17:00,4
2019-03-06 05:18:00,57
2019-03-06 05:19:00,41
2019-03-06 05:20:00,5
2019-03-06 05:21:00,1
2019-03-06 05:22:00,27
2019-03-06 05:23:00,52
2019-03-06 05:24:00,5
2019-03-06 05:25:00,3
2019-03-06 14:49:00,2
2019-03-06 14:50:00,4
2019-03-06 14:51:00,1
2019-03-06 14:52:00,2
2019-03-06 14:53:00,3
2019-03-06 14:54:00,2
2019-03-06 14:57:00,1
2019-03-06 15:00:00,2
2019-03-06 15:02:00,3
2019-03-06 15:03:00,2
2019-03-06 15:05:00,1
2019-03-06 15:14:00,1
2019-03-06 18:51:00,1
