12712,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-06 14:39:00,4
2019-03-06 14:53:00,14
2019-03-06 14:54:00,85
2019-03-06 14:56:00,38
2019-03-06 14:57:00,150
2019-03-06 14:58:00,165
2019-03-06 14:59:00,175
2019-03-06 15:00:00,156
2019-03-06 15:01:00,154
2019-03-06 15:02:00,174
2019-03-06 15:03:00,47
2019-03-06 15:04:00,30
2019-03-06 15:05:00,95
2019-03-06 15:06:00,86
2019-03-06 15:07:00,89
2019-03-06 15:08:00,5
2019-03-06 17:14:00,75
2019-03-06 17:25:00,81
2019-03-06 17:26:00,111
2019-03-06 17:27:00,135
2019-03-06 17:28:00,111
2019-03-06 17:29:00,128
2019-03-06 17:30:00,116
2019-03-06 17:31:00,122
2019-03-06 17:32:00,32
2019-03-06 17:33:00,119
2019-03-06 17:34:00,121
2019-03-06 17:35:00,120
2019-03-06 17:36:00,124
2019-03-06 17:37:00,122
2019-03-06 17:40:00,92
2019-03-06 17:41:00,123
2019-03-06 17:42:00,122
2019-03-06 17:43:00,137
2019-03-06 17:44:00,124
2019-03-06 17:45:00,115
2019-03-06 17:46:00,65
2019-03-06 17:47:00,93
2019-03-06 17:48:00,132
2019-03-06 17:49:00,79
2019-03-06 17:50:00,98
2019-03-06 17:51:00,112
2019-03-06 17:52:00,116
2019-03-06 17:53:00,133
2019-03-06 17:54:00,104
2019-03-06 17:55:00,115
2019-03-06 17:56:00,140
2019-03-06 17:57:00,124
2019-03-06 17:58:00,124
2019-03-06 17:59:00,120
2019-03-06 18:00:00,119
2019-03-06 18:01:00,128
2019-03-06 18:02:00,140
2019-03-06 18:03:00,107
2019-03-06 18:04:00,125
2019-03-06 18:05:00,141
2019-03-06 18:06:00,121
2019-03-06 18:07:00,113
2019-03-06 18:08:00,92
2019-03-06 18:09:00,105
2019-03-06 18:10:00,131
2019-03-06 18:11:00,118
2019-03-06 18:12:00,120
2019-03-06 18:13:00,125
2019-03-06 18:14:00,128
2019-03-06 18:15:00,126
2019-03-06 18:16:00,124
2019-03-06 18:17:00,142
2019-03-06 18:18:00,134
2019-03-06 18:19:00,139
2019-03-06 18:20:00,102
2019-03-06 18:21:00,139
2019-03-06 18:22:00,121
2019-03-06 18:23:00,127
2019-03-06 18:24:00,126
2019-03-06 18:25:00,124
2019-03-06 18:26:00,126
2019-03-06 18:27:00,127
2019-03-06 18:28:00,123
2019-03-06 18:29:00,129
2019-03-06 18:30:00,128
2019-03-06 18:31:00,133
2019-03-06 18:32:00,113
2019-03-06 18:33:00,136
2019-03-06 18:34:00,131
2019-03-06 18:35:00,110
2019-03-06 18:36:00,147
2019-03-06 18:37:00,107
2019-03-06 18:38:00,116
2019-03-06 18:39:00,131
2019-03-06 18:40:00,116
2019-03-06 18:41:00,125
2019-03-06 18:42:00,128
2019-03-06 18:43:00,133
2019-03-06 18:44:00,126
2019-03-06 18:45:00,117
2019-03-06 18:46:00,112
2019-03-06 18:47:00,117
2019-03-06 18:48:00,121
2019-03-06 18:49:00,132
2019-03-06 18:50:00,107
2019-03-06 19:49:00,92
2019-03-06 19:50:00,114
2019-03-06 19:51:00,115
2019-03-06 19:52:00,115
2019-03-06 19:53:00,124
2019-03-06 19:54:00,115
2019-03-06 19:55:00,125
2019-03-06 19:56:00,144
2019-03-06 19:57:00,133
2019-03-06 19:58:00,75
