16,"SELECT  TOP # &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-03-06 19:30:00,1
2019-03-06 19:32:00,1
2019-03-06 19:33:00,1
2019-03-06 19:35:00,1
2019-03-06 19:36:00,1
2019-03-06 19:38:00,2
2019-03-06 19:42:00,1
2019-03-06 19:44:00,1
2019-03-06 19:46:00,4
2019-03-06 19:48:00,1
2019-03-06 19:49:00,1
2019-03-06 19:50:00,1
