639,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-06 13:37:00,27
2019-03-06 13:38:00,18
2019-03-06 13:43:00,24
2019-03-06 13:47:00,32
2019-03-06 13:51:00,37
2019-03-06 13:57:00,36
2019-03-06 13:58:00,28
2019-03-06 13:59:00,8
2019-03-06 14:00:00,6
2019-03-06 14:01:00,116
2019-03-06 14:02:00,57
2019-03-06 14:08:00,56
2019-03-06 14:19:00,58
2019-03-06 14:29:00,135
2019-03-06 21:29:00,1
