1084,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-03-06 05:08:00,46
2019-03-06 05:09:00,189
2019-03-06 05:10:00,85
2019-03-06 05:11:00,209
2019-03-06 05:12:00,181
2019-03-06 05:13:00,139
2019-03-06 05:14:00,36
2019-03-06 05:15:00,21
2019-03-06 05:17:00,2
2019-03-06 05:18:00,32
2019-03-06 05:19:00,27
2019-03-06 05:20:00,4
2019-03-06 05:22:00,20
2019-03-06 05:23:00,29
2019-03-06 05:24:00,3
2019-03-06 05:25:00,2
2019-03-06 14:50:00,2
2019-03-06 14:51:00,1
2019-03-06 14:54:00,1
2019-03-06 15:01:00,1
2019-03-06 15:02:00,1
2019-03-06 18:51:00,2
2019-03-06 19:01:00,1
2019-03-06 19:07:00,39
2019-03-06 19:10:00,11
