18,select objid from photoobjall where photoobjall.dec between # and -.# and photoobjall.ra between # and #
2019-03-06 19:39:00,1
2019-03-06 19:49:00,1
2019-03-06 20:00:00,1
2019-03-06 21:04:00,1
2019-03-06 21:09:00,1
2019-03-06 21:13:00,1
2019-03-06 21:52:00,1
2019-03-06 21:53:00,1
2019-03-06 21:54:00,1
2019-03-06 22:08:00,2
2019-03-06 22:11:00,1
2019-03-06 22:40:00,1
2019-03-06 22:44:00,1
2019-03-06 22:45:00,1
2019-03-06 23:01:00,1
2019-03-06 23:24:00,1
2019-03-06 23:56:00,1
