135,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-06 05:08:00,2
2019-03-06 05:24:00,2
2019-03-06 05:27:00,1
2019-03-06 05:59:00,1
2019-03-06 06:29:00,1
2019-03-06 06:30:00,1
2019-03-06 06:42:00,1
2019-03-06 06:53:00,1
2019-03-06 07:29:00,1
2019-03-06 07:34:00,1
2019-03-06 07:47:00,1
2019-03-06 07:48:00,1
2019-03-06 07:50:00,2
2019-03-06 07:59:00,1
2019-03-06 08:25:00,1
2019-03-06 08:26:00,1
2019-03-06 08:39:00,1
2019-03-06 08:41:00,1
2019-03-06 09:12:00,1
2019-03-06 09:15:00,1
2019-03-06 09:16:00,1
2019-03-06 09:28:00,3
2019-03-06 09:37:00,1
2019-03-06 10:05:00,1
2019-03-06 10:14:00,1
2019-03-06 10:36:00,1
2019-03-06 10:37:00,1
2019-03-06 10:45:00,1
2019-03-06 11:05:00,2
2019-03-06 11:27:00,1
2019-03-06 11:33:00,1
2019-03-06 11:49:00,1
2019-03-06 13:10:00,1
2019-03-06 13:20:00,1
2019-03-06 13:22:00,1
2019-03-06 13:44:00,1
2019-03-06 13:46:00,2
2019-03-06 17:34:00,1
2019-03-06 17:54:00,1
2019-03-06 18:10:00,1
2019-03-06 18:11:00,1
2019-03-06 18:13:00,4
2019-03-06 18:15:00,1
2019-03-06 18:16:00,1
2019-03-06 18:17:00,1
2019-03-06 18:20:00,1
2019-03-06 18:23:00,1
2019-03-06 18:33:00,3
2019-03-06 18:34:00,3
2019-03-06 19:12:00,4
2019-03-06 19:14:00,1
2019-03-06 20:02:00,1
2019-03-06 20:03:00,1
2019-03-06 20:04:00,4
2019-03-06 20:05:00,1
2019-03-06 20:06:00,2
2019-03-06 20:07:00,1
2019-03-06 20:08:00,4
2019-03-06 20:09:00,3
2019-03-06 20:10:00,2
2019-03-06 20:11:00,3
2019-03-06 20:12:00,1
2019-03-06 20:22:00,1
2019-03-06 20:23:00,1
2019-03-06 20:24:00,3
2019-03-06 20:25:00,1
2019-03-06 21:37:00,4
2019-03-06 21:38:00,1
2019-03-06 21:39:00,2
2019-03-06 21:40:00,1
2019-03-06 22:02:00,1
2019-03-06 22:05:00,2
2019-03-06 22:06:00,2
2019-03-06 22:07:00,3
2019-03-06 23:02:00,2
2019-03-06 23:03:00,3
2019-03-06 23:04:00,1
2019-03-06 23:05:00,3
2019-03-06 23:42:00,2
2019-03-06 23:43:00,1
2019-03-06 23:44:00,4
2019-03-06 23:45:00,5
2019-03-06 23:46:00,1
