9,"SELECT top # php.b, php.l     FROM PhotoPrimary as php  WHERE (b between # and #)"
2019-03-06 10:08:00,1
2019-03-06 10:09:00,1
2019-03-06 10:10:00,4
2019-03-06 10:11:00,1
2019-03-06 10:19:00,2
