19,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-06 01:04:00,1
2019-03-06 01:09:00,1
2019-03-06 01:16:00,1
2019-03-06 01:20:00,1
2019-03-06 01:26:00,1
2019-03-06 01:50:00,1
2019-03-06 01:57:00,1
2019-03-06 02:31:00,1
2019-03-06 02:39:00,1
2019-03-06 02:43:00,1
2019-03-06 02:46:00,1
2019-03-06 02:50:00,1
2019-03-06 05:10:00,1
2019-03-06 05:12:00,1
2019-03-06 05:18:00,1
2019-03-06 05:20:00,1
2019-03-06 05:36:00,1
2019-03-06 05:42:00,1
2019-03-06 17:22:00,1
