72,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-03-06 00:33:00,1
2019-03-06 02:20:00,1
2019-03-06 06:33:00,6
2019-03-06 06:34:00,5
2019-03-06 09:39:00,1
2019-03-06 09:40:00,9
2019-03-06 09:41:00,11
2019-03-06 09:42:00,1
2019-03-06 09:43:00,2
2019-03-06 10:50:00,11
2019-03-06 12:42:00,1
2019-03-06 14:31:00,1
2019-03-06 14:32:00,1
2019-03-06 15:47:00,1
2019-03-06 19:45:00,8
2019-03-06 19:46:00,1
2019-03-06 19:47:00,7
2019-03-06 19:48:00,1
2019-03-06 19:49:00,1
2019-03-06 19:50:00,2
