623,select objid from star where star.dec between # and # and star.ra between # and #
2019-03-06 20:03:00,21
2019-03-06 20:04:00,32
2019-03-06 20:05:00,12
2019-03-06 20:06:00,17
2019-03-06 20:07:00,16
2019-03-06 20:08:00,31
2019-03-06 20:09:00,29
2019-03-06 20:10:00,27
2019-03-06 20:11:00,16
2019-03-06 20:12:00,10
2019-03-06 20:20:00,3
2019-03-06 20:21:00,3
2019-03-06 20:22:00,3
2019-03-06 20:23:00,25
2019-03-06 20:24:00,23
2019-03-06 20:25:00,3
2019-03-06 21:34:00,3
2019-03-06 21:37:00,24
2019-03-06 21:38:00,19
2019-03-06 21:39:00,19
2019-03-06 21:40:00,6
2019-03-06 22:02:00,16
2019-03-06 22:03:00,2
2019-03-06 22:05:00,25
2019-03-06 22:06:00,15
2019-03-06 22:07:00,20
2019-03-06 22:08:00,2
2019-03-06 23:00:00,7
2019-03-06 23:01:00,2
2019-03-06 23:02:00,21
2019-03-06 23:03:00,35
2019-03-06 23:04:00,11
2019-03-06 23:05:00,12
2019-03-06 23:41:00,6
2019-03-06 23:42:00,16
2019-03-06 23:43:00,13
2019-03-06 23:44:00,42
2019-03-06 23:45:00,31
2019-03-06 23:46:00,2
2019-03-06 23:47:00,3
