35,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-03-06 05:15:00,1
2019-03-06 05:16:00,1
2019-03-06 05:17:00,1
2019-03-06 05:57:00,1
2019-03-06 05:58:00,1
2019-03-06 06:32:00,1
2019-03-06 06:39:00,1
2019-03-06 06:52:00,2
2019-03-06 07:22:00,1
2019-03-06 07:23:00,1
2019-03-06 07:25:00,1
2019-03-06 07:27:00,1
2019-03-06 07:29:00,1
2019-03-06 07:33:00,1
2019-03-06 18:07:00,2
2019-03-06 18:13:00,3
2019-03-06 21:15:00,2
2019-03-06 21:17:00,1
2019-03-06 21:18:00,1
2019-03-06 21:20:00,2
2019-03-06 21:21:00,1
2019-03-06 21:27:00,1
2019-03-06 21:28:00,2
2019-03-06 21:29:00,2
2019-03-06 21:44:00,2
2019-03-06 22:33:00,1
