26,"SELECT top # p.objId,p.ra,p.dec,p.l as l,p.b as b,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z as z_spec, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.g < #"
2019-03-06 18:40:00,1
2019-03-06 18:44:00,6
2019-03-06 18:46:00,4
2019-03-06 18:49:00,1
2019-03-06 18:52:00,2
2019-03-06 18:54:00,3
2019-03-06 18:55:00,1
2019-03-06 18:57:00,1
2019-03-06 18:58:00,2
2019-03-06 18:59:00,1
2019-03-06 19:01:00,1
2019-03-06 19:02:00,1
2019-03-06 19:05:00,1
2019-03-06 19:06:00,1
