54,select objid from photoobjall where photoobjall.dec between .# and .# and photoobjall.ra between # and #
2019-03-06 16:55:00,1
2019-03-06 17:40:00,1
2019-03-06 17:43:00,2
2019-03-06 17:44:00,5
2019-03-06 17:45:00,5
2019-03-06 17:46:00,3
2019-03-06 17:47:00,2
2019-03-06 17:48:00,1
2019-03-06 17:49:00,4
2019-03-06 17:50:00,2
2019-03-06 17:51:00,1
2019-03-06 19:39:00,1
2019-03-06 19:45:00,1
2019-03-06 19:49:00,1
2019-03-06 20:13:00,1
2019-03-06 20:27:00,1
2019-03-06 20:33:00,1
2019-03-06 20:37:00,1
2019-03-06 20:48:00,1
2019-03-06 20:49:00,1
2019-03-06 21:16:00,1
2019-03-06 21:20:00,1
2019-03-06 21:42:00,1
2019-03-06 22:13:00,1
2019-03-06 22:20:00,2
2019-03-06 22:31:00,1
2019-03-06 22:32:00,1
2019-03-06 22:41:00,1
2019-03-06 23:04:00,1
2019-03-06 23:06:00,1
2019-03-06 23:12:00,1
2019-03-06 23:13:00,1
2019-03-06 23:24:00,1
2019-03-06 23:48:00,1
2019-03-06 23:53:00,1
2019-03-06 23:59:00,2
