21,select * from zoo2MainPhotoz where dr8objid=#
2019-10-28 06:38:00,1
2019-10-28 07:14:00,1
2019-10-28 08:33:00,1
2019-10-28 09:03:00,1
2019-10-28 10:08:00,1
2019-10-28 11:19:00,1
2019-10-28 12:17:00,1
2019-10-28 12:45:00,1
2019-10-28 13:59:00,1
2019-10-28 14:08:00,1
2019-10-28 14:18:00,1
2019-10-28 15:09:00,1
2019-10-28 15:58:00,1
2019-10-28 16:22:00,1
2019-10-28 17:31:00,1
2019-10-28 18:03:00,1
2019-10-28 20:44:00,1
2019-10-28 20:54:00,1
2019-10-28 21:45:00,1
2019-10-28 21:53:00,1
2019-10-28 23:33:00,1
