6,"select distinct top # star.ra, star.dec, #PLATESCALE*(star.ra  plate.racen)/cos(plate.deccen*PI()/#) as x, #PLATESCALE*(star.dec  plate.deccen) as y, obj.j as mag from apogeestar as star, apogeeObject as obj, apogeePlate as plate where obj.target_id=star.target_id and plate.location_id=star.location_id and plate.plate = # order by mag"
2019-10-28 19:25:00,3
2019-10-28 19:26:00,1
2019-10-28 19:27:00,2
