176,select * from zooSpec where objid=#
2019-10-28 02:40:00,1
2019-10-28 06:06:00,1
2019-10-28 06:31:00,1
2019-10-28 06:35:00,1
2019-10-28 06:37:00,1
2019-10-28 06:38:00,1
2019-10-28 06:45:00,1
2019-10-28 07:00:00,1
2019-10-28 07:21:00,1
2019-10-28 07:23:00,1
2019-10-28 07:25:00,1
2019-10-28 07:26:00,1
2019-10-28 07:27:00,1
2019-10-28 07:30:00,1
2019-10-28 07:35:00,1
2019-10-28 07:42:00,1
2019-10-28 07:54:00,1
2019-10-28 08:05:00,1
2019-10-28 08:19:00,1
2019-10-28 08:32:00,1
2019-10-28 08:35:00,1
2019-10-28 08:42:00,1
2019-10-28 08:43:00,1
2019-10-28 08:46:00,1
2019-10-28 08:48:00,1
2019-10-28 08:49:00,1
2019-10-28 08:50:00,1
2019-10-28 08:54:00,1
2019-10-28 08:59:00,1
2019-10-28 09:00:00,1
2019-10-28 09:03:00,2
2019-10-28 09:11:00,1
2019-10-28 09:20:00,1
2019-10-28 09:25:00,1
2019-10-28 09:27:00,1
2019-10-28 09:28:00,1
2019-10-28 09:36:00,1
2019-10-28 09:41:00,1
2019-10-28 10:02:00,2
2019-10-28 10:17:00,1
2019-10-28 10:26:00,1
2019-10-28 10:32:00,1
2019-10-28 10:35:00,1
2019-10-28 10:48:00,1
2019-10-28 10:57:00,1
2019-10-28 11:02:00,1
2019-10-28 11:03:00,1
2019-10-28 11:11:00,1
2019-10-28 11:12:00,1
2019-10-28 11:20:00,2
2019-10-28 11:25:00,1
2019-10-28 11:31:00,1
2019-10-28 11:33:00,1
2019-10-28 11:35:00,1
2019-10-28 11:42:00,2
2019-10-28 11:48:00,1
2019-10-28 11:51:00,1
2019-10-28 11:56:00,1
2019-10-28 11:58:00,1
2019-10-28 12:01:00,2
2019-10-28 12:13:00,2
2019-10-28 12:15:00,1
2019-10-28 12:16:00,1
2019-10-28 12:18:00,1
2019-10-28 12:31:00,1
2019-10-28 12:36:00,1
2019-10-28 12:37:00,1
2019-10-28 12:41:00,1
2019-10-28 12:45:00,1
2019-10-28 12:49:00,1
2019-10-28 12:53:00,1
2019-10-28 13:00:00,1
2019-10-28 13:05:00,1
2019-10-28 13:12:00,1
2019-10-28 13:13:00,1
2019-10-28 13:21:00,1
2019-10-28 13:29:00,2
2019-10-28 13:38:00,1
2019-10-28 14:00:00,1
2019-10-28 14:06:00,1
2019-10-28 14:07:00,1
2019-10-28 14:08:00,1
2019-10-28 14:15:00,2
2019-10-28 14:18:00,1
2019-10-28 14:20:00,1
2019-10-28 14:27:00,1
2019-10-28 14:30:00,1
2019-10-28 14:35:00,2
2019-10-28 14:39:00,1
2019-10-28 14:45:00,1
2019-10-28 14:50:00,1
2019-10-28 14:57:00,1
2019-10-28 15:07:00,1
2019-10-28 15:09:00,1
2019-10-28 15:11:00,1
2019-10-28 15:21:00,1
2019-10-28 15:48:00,2
2019-10-28 15:58:00,1
2019-10-28 16:16:00,1
2019-10-28 16:18:00,1
2019-10-28 16:21:00,1
2019-10-28 16:32:00,1
2019-10-28 16:33:00,1
2019-10-28 16:44:00,2
2019-10-28 16:53:00,1
2019-10-28 17:08:00,1
2019-10-28 17:11:00,1
2019-10-28 17:19:00,1
2019-10-28 17:26:00,1
2019-10-28 17:31:00,1
2019-10-28 17:35:00,1
2019-10-28 17:42:00,1
2019-10-28 17:59:00,1
2019-10-28 18:03:00,1
2019-10-28 18:16:00,1
2019-10-28 18:38:00,2
2019-10-28 18:45:00,1
2019-10-28 18:47:00,1
2019-10-28 18:49:00,1
2019-10-28 18:52:00,1
2019-10-28 18:57:00,1
2019-10-28 19:01:00,1
2019-10-28 19:16:00,1
2019-10-28 19:18:00,1
2019-10-28 19:19:00,1
2019-10-28 19:26:00,2
2019-10-28 19:44:00,1
2019-10-28 19:47:00,1
2019-10-28 19:52:00,1
2019-10-28 19:57:00,1
2019-10-28 20:00:00,1
2019-10-28 20:01:00,1
2019-10-28 20:09:00,1
2019-10-28 20:10:00,1
2019-10-28 20:13:00,1
2019-10-28 20:30:00,1
2019-10-28 20:33:00,1
2019-10-28 20:47:00,1
2019-10-28 20:54:00,2
2019-10-28 21:07:00,1
2019-10-28 21:10:00,1
2019-10-28 21:13:00,2
2019-10-28 21:31:00,1
2019-10-28 21:33:00,1
2019-10-28 21:34:00,1
2019-10-28 21:35:00,1
2019-10-28 21:45:00,1
2019-10-28 21:47:00,1
2019-10-28 21:49:00,1
2019-10-28 22:01:00,1
2019-10-28 22:09:00,2
2019-10-28 22:15:00,2
2019-10-28 22:24:00,1
2019-10-28 22:28:00,1
2019-10-28 22:35:00,1
2019-10-28 22:57:00,1
2019-10-28 23:02:00,1
2019-10-28 23:20:00,1
2019-10-28 23:30:00,1
