16,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN PhotoObj AS p ON s.bestobjid=p.objid  WHERE s.zWarning = # AND (s.class = &&&) AND p.g < # AND (p.g - p.r) > # AND (p.g - p.r) < #"
2019-10-28 18:54:00,2
2019-10-28 18:56:00,1
2019-10-28 19:00:00,1
2019-10-28 19:26:00,1
2019-10-28 19:45:00,1
2019-10-28 20:09:00,1
2019-10-28 22:43:00,1
2019-10-28 22:51:00,1
2019-10-28 22:56:00,1
2019-10-28 23:07:00,1
2019-10-28 23:12:00,1
2019-10-28 23:19:00,1
2019-10-28 23:28:00,1
2019-10-28 23:38:00,1
2019-10-28 23:45:00,1
