60,select * from PhotozRF where objid=#
2019-10-28 00:33:00,1
2019-10-28 00:37:00,1
2019-10-28 00:49:00,1
2019-10-28 00:51:00,1
2019-10-28 00:53:00,1
2019-10-28 00:55:00,1
2019-10-28 01:50:00,1
2019-10-28 01:59:00,1
2019-10-28 02:33:00,1
2019-10-28 03:01:00,1
2019-10-28 03:14:00,1
2019-10-28 03:19:00,1
2019-10-28 03:57:00,1
2019-10-28 04:03:00,1
2019-10-28 04:23:00,1
2019-10-28 04:27:00,1
2019-10-28 04:48:00,1
2019-10-28 05:13:00,1
2019-10-28 05:32:00,1
2019-10-28 05:34:00,1
2019-10-28 05:51:00,1
2019-10-28 06:41:00,1
2019-10-28 07:11:00,1
2019-10-28 07:20:00,1
2019-10-28 07:57:00,2
2019-10-28 08:59:00,1
2019-10-28 09:08:00,1
2019-10-28 09:51:00,1
2019-10-28 09:53:00,1
2019-10-28 09:58:00,1
2019-10-28 11:02:00,1
2019-10-28 11:12:00,1
2019-10-28 11:25:00,1
2019-10-28 11:47:00,1
2019-10-28 12:30:00,1
2019-10-28 12:55:00,1
2019-10-28 12:59:00,1
2019-10-28 13:12:00,1
2019-10-28 13:36:00,1
2019-10-28 14:19:00,1
2019-10-28 14:24:00,1
2019-10-28 14:52:00,1
2019-10-28 15:16:00,1
2019-10-28 15:34:00,1
2019-10-28 16:07:00,1
2019-10-28 17:06:00,1
2019-10-28 17:58:00,1
2019-10-28 18:30:00,2
2019-10-28 19:02:00,1
2019-10-28 19:05:00,1
2019-10-28 19:44:00,1
2019-10-28 20:37:00,1
2019-10-28 21:00:00,1
2019-10-28 21:02:00,1
2019-10-28 21:11:00,1
2019-10-28 21:54:00,1
2019-10-28 22:32:00,1
2019-10-28 23:14:00,1
