6443,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-10-28 15:01:00,1
2019-10-28 15:02:00,1
2019-10-28 15:03:00,18
2019-10-28 15:04:00,458
2019-10-28 15:05:00,123
2019-10-28 15:42:00,1
2019-10-28 15:43:00,336
2019-10-28 15:44:00,155
2019-10-28 15:46:00,180
2019-10-28 15:47:00,312
2019-10-28 17:04:00,117
2019-10-28 17:05:00,386
2019-10-28 17:06:00,383
2019-10-28 17:07:00,389
2019-10-28 17:08:00,384
2019-10-28 17:09:00,316
2019-10-28 17:10:00,401
2019-10-28 17:11:00,395
2019-10-28 17:12:00,395
2019-10-28 17:13:00,389
2019-10-28 17:14:00,419
2019-10-28 17:15:00,400
2019-10-28 17:16:00,263
2019-10-28 17:17:00,221
