3,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z FROM SpecPhoto AS sp WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-28 20:38:00,1
2019-10-28 20:40:00,1
2019-10-28 20:41:00,1
