1538,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-28 12:30:00,114
2019-10-28 12:31:00,134
2019-10-28 12:32:00,15
2019-10-28 12:33:00,28
2019-10-28 12:34:00,55
2019-10-28 12:35:00,41
2019-10-28 12:36:00,36
2019-10-28 12:38:00,185
2019-10-28 12:39:00,223
2019-10-28 12:40:00,61
2019-10-28 12:41:00,68
2019-10-28 12:42:00,167
2019-10-28 12:44:00,21
2019-10-28 12:45:00,39
2019-10-28 12:47:00,69
2019-10-28 12:49:00,51
2019-10-28 12:50:00,167
2019-10-28 12:51:00,44
2019-10-28 12:52:00,20
