1608,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-10-28 09:12:00,5
2019-10-28 09:13:00,22
2019-10-28 09:14:00,32
2019-10-28 09:15:00,36
2019-10-28 09:16:00,36
2019-10-28 09:17:00,34
2019-10-28 09:18:00,32
2019-10-28 09:19:00,25
2019-10-28 09:20:00,28
2019-10-28 09:21:00,30
2019-10-28 09:22:00,30
2019-10-28 09:23:00,30
2019-10-28 09:24:00,30
2019-10-28 09:25:00,14
2019-10-28 09:58:00,38
2019-10-28 09:59:00,36
2019-10-28 10:00:00,29
2019-10-28 10:01:00,32
2019-10-28 10:02:00,30
2019-10-28 10:03:00,23
2019-10-28 10:04:00,28
2019-10-28 10:05:00,32
2019-10-28 10:06:00,32
2019-10-28 10:07:00,28
2019-10-28 10:08:00,31
2019-10-28 10:09:00,21
2019-10-28 10:53:00,13
2019-10-28 10:54:00,31
2019-10-28 10:55:00,21
2019-10-28 10:56:00,22
2019-10-28 10:57:00,32
2019-10-28 10:58:00,32
2019-10-28 10:59:00,32
2019-10-28 11:00:00,27
2019-10-28 11:01:00,25
2019-10-28 11:02:00,20
2019-10-28 11:03:00,26
2019-10-28 11:04:00,27
2019-10-28 11:05:00,27
2019-10-28 11:06:00,25
2019-10-28 11:15:00,7
2019-10-28 11:16:00,36
2019-10-28 11:17:00,27
2019-10-28 11:18:00,26
2019-10-28 11:19:00,33
2019-10-28 11:20:00,32
2019-10-28 11:21:00,30
2019-10-28 11:22:00,28
2019-10-28 11:23:00,28
2019-10-28 11:24:00,20
2019-10-28 11:25:00,22
2019-10-28 11:26:00,26
2019-10-28 11:27:00,25
2019-10-28 11:28:00,20
2019-10-28 11:49:00,10
2019-10-28 11:50:00,34
2019-10-28 11:51:00,31
2019-10-28 11:52:00,34
2019-10-28 11:53:00,32
2019-10-28 11:54:00,3
